Design Study 1
Scenarios/Iterations:, 152
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152
DT Length,,N/A,0.631232,0.647034,0.629531,0.677561,0.624925,0.642850,0.676262,0.633942,0.676699,0.659131,0.640226,0.719504,0.714883,0.676325,0.658422,0.682900,0.649614,0.670137,0.643042,0.660645,0.688013,0.708349,0.677731,0.665622,0.639277,0.688980,0.693239,0.659802,0.602721,0.651611,0.693717,0.679004,0.659418,0.680781,0.672664,0.673953,0.614572,0.657636,0.680354,0.683999,0.672526,0.655706,0.692829,0.697213,0.706707,0.603375,0.645858,0.637612,0.612432,0.661162,0.693982,0.684501,0.672542,0.628707,0.697493,0.699454,0.658870,0.665675,0.627693,0.653560,0.663428,0.623297,0.673615,0.645028,0.710537,0.683822,0.650102,0.696603,0.627943,0.670833,0.631737,0.682930,0.614973,0.615808,0.688731,0.654132,0.738405,0.705710,0.667964,0.611796,0.711060,0.614266,0.667246,0.649951,0.652902,0.643489,0.672225,0.608420,0.670808,0.684592,0.677963,0.692669,0.625159,0.611690,0.637402,0.682682,0.643758,0.677759,0.631472,0.652676,0.680205,0.663786,0.717340,0.628377,0.663191,0.675448,0.672836,0.684361,0.644408,0.699254,0.641574,0.707486,0.612178,0.690859,0.696534,0.701532,0.660397,0.660150,0.715140,0.660732,0.658394,0.679633,0.685365,0.646588,0.679938,0.652081,0.634864,0.648204,0.665330,0.629491,0.559455,0.693607,0.667736,0.666701,0.630075,0.667203,0.666457,0.705751,0.695703,0.688104,0.688684,0.648405,0.628959,0.663186,0.685940,0.709332,0.696266,0.664786,0.673071,0.627268,0.665979,0.655105,0.642566
Min FS 1,Monitor Only,,3.640e+00,2.598e-01,7.120e-01,4.550e-01,4.582e-01,8.868e-01,6.268e-01,7.561e-01,6.740e-01,5.206e-01,5.704e-01,1.627e-01,1.751e-01,4.580e-02,1.071e+00,4.492e-01,3.919e-01,2.988e-01,8.420e-01,4.244e-01,8.013e-01,2.606e-01,4.110e-01,2.036e-01,5.204e-01,8.426e-01,5.658e-01,5.173e-01,8.106e-01,2.823e-01,5.100e-01,5.514e-01,6.424e-01,3.630e-01,3.615e-01,4.093e-01,6.091e-01,4.970e-01,1.246e+00,5.845e-01,2.364e-01,5.459e-01,3.086e-01,3.146e-01,6.216e-01,7.687e-01,9.908e-01,4.305e-01,9.003e-01,1.479e+00,3.325e-01,3.493e-01,5.646e-01,7.236e-01,3.360e-01,4.822e-01,1.503e+00,5.172e-01,Rebuild Error,1.164e+00,1.202e+00,5.364e-01,1.114e+00,6.731e-01,5.451e-01,5.876e-01,3.227e-01,6.172e-01,6.539e-01,5.582e-01,4.262e-01,5.609e-01,6.740e-01,8.487e-01,4.931e-01,2.431e-01,Simulation Eccentric Stiffness (3) fails.,4.353e-01,3.981e-01,4.787e-01,5.805e-02,8.440e-01,1.267e+00,1.334e+00,1.214e+00,5.960e-01,5.535e-01,5.927e-01,1.220e+00,4.681e-01,6.090e-01,8.554e-01,6.302e-01,6.266e-01,3.401e-01,7.874e-01,5.659e-01,4.384e-01,1.525e+00,3.412e-01,3.611e-01,9.365e-01,2.074e-01,1.029e+00,1.119e+00,6.815e-01,4.249e-01,5.893e-01,9.688e-01,3.136e-01,1.241e+00,6.251e-01,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,3.038e-01,4.612e-01,5.472e-01,5.004e-01,1.014e-01,1.176e+00,6.190e-01,6.524e-01,4.802e-01,6.239e-01,5.545e-01,3.478e-01,6.511e-01,4.661e-01,6.067e-01,5.214e-01,7.217e-01,3.247e-01,5.399e-01,9.806e-01,4.163e-01,3.181e-01,8.725e-01,5.485e-01,5.241e-01,3.577e-01,4.253e-01,1.595e+00,3.638e-01,1.810e+00,2.947e-01,2.941e-01,5.738e-01,1.724e+00,4.586e-01,5.499e-01,8.535e-01,2.827e-01,3.453e-01
Max Stress 1,Monitor Only, N/m^2,2.273e+08,1.771e+09,6.461e+08,6.044e+08,1.004e+09,5.187e+08,7.339e+08,6.084e+08,4.080e+08,8.836e+08,8.064e+08,1.691e+09,1.571e+09,6.004e+09,4.297e+08,1.024e+09,1.174e+09,1.539e+09,5.463e+08,1.084e+09,3.432e+08,1.055e+09,1.119e+09,2.259e+09,8.839e+08,5.459e+08,8.130e+08,8.893e+08,5.675e+08,1.630e+09,9.020e+08,8.342e+08,7.161e+08,7.576e+08,1.272e+09,6.718e+08,7.553e+08,9.255e+08,3.692e+08,7.870e+08,1.946e+09,8.426e+08,8.911e+08,8.741e+08,4.424e+08,5.984e+08,4.643e+08,1.069e+09,5.109e+08,3.111e+08,8.270e+08,1.317e+09,8.148e+08,6.357e+08,8.185e+08,9.539e+08,3.061e+08,8.893e+08,Rebuild Error,3.953e+08,3.827e+08,8.576e+08,2.468e+08,6.834e+08,5.045e+08,7.828e+08,1.425e+09,4.455e+08,7.035e+08,8.241e+08,1.079e+09,8.201e+08,6.825e+08,5.420e+08,9.330e+08,1.892e+09,Simulation Eccentric Stiffness (3) fails.,6.318e+08,1.155e+09,9.609e+08,7.924e+09,5.450e+08,3.630e+08,3.448e+08,3.790e+08,7.718e+08,8.311e+08,7.761e+08,3.770e+08,9.828e+08,7.554e+08,3.215e+08,7.299e+08,7.341e+08,1.352e+09,3.493e+08,8.129e+08,1.049e+09,3.016e+08,1.348e+09,7.615e+08,2.936e+08,1.326e+09,4.470e+08,4.110e+08,6.749e+08,1.083e+09,7.806e+08,4.748e+08,1.467e+09,3.706e+08,4.400e+08,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,9.053e+08,9.974e+08,8.407e+08,9.193e+08,2.712e+09,2.338e+08,7.432e+08,7.051e+08,5.727e+08,7.373e+08,8.296e+08,1.323e+09,7.065e+08,9.870e+08,4.533e+08,8.822e+08,6.374e+08,1.417e+09,8.521e+08,4.691e+08,1.105e+09,1.446e+09,3.152e+08,5.014e+08,8.777e+08,1.286e+09,1.082e+09,2.884e+08,1.264e+09,2.542e+08,1.561e+09,1.564e+09,8.017e+08,2.669e+08,1.003e+09,8.365e+08,3.222e+08,1.627e+09,1.332e+09
Min FS 3,Monitor Only,,2.577e+00,7.846e-01,1.932e+00,6.062e-01,1.116e+00,9.239e-01,1.695e+00,1.882e+00,8.468e-01,1.460e+00,9.479e-01,4.334e-01,4.824e-01,4.009e-01,1.060e+00,1.128e+00,1.183e+00,8.857e-01,8.672e-01,1.197e+00,7.919e-01,7.782e-01,1.099e+00,6.462e-01,1.587e+00,4.998e-01,1.488e+00,1.333e+00,2.361e+00,8.540e-01,1.317e+00,1.450e+00,1.779e+00,3.580e-01,1.005e+00,5.215e-01,1.661e+00,1.443e+00,8.968e-01,1.514e+00,7.204e-01,1.574e+00,8.191e-01,8.381e-01,7.823e-01,2.282e+00,1.088e+00,1.309e+00,2.373e+00,1.379e+00,8.505e-01,9.364e-01,1.462e+00,1.918e+00,5.652e-01,1.305e+00,1.392e+00,1.360e+00,Rebuild Error,1.038e+00,1.202e+00,1.650e+00,8.991e-01,1.976e+00,3.636e-01,1.542e+00,9.629e-01,5.487e-01,1.860e+00,1.474e+00,1.319e+00,1.483e+00,1.965e+00,2.096e+00,1.255e+00,7.277e-01,Simulation Eccentric Stiffness (3) fails.,8.089e-01,1.055e+00,1.404e+00,2.280e-01,1.756e+00,1.064e+00,1.091e+00,1.031e+00,1.703e+00,1.474e+00,1.759e+00,1.044e+00,1.196e+00,1.411e+00,5.877e-01,1.894e+00,7.813e-01,1.013e+00,6.058e-01,1.438e+00,5.835e-01,1.543e+00,1.036e+00,5.102e-01,8.522e-01,5.319e-01,1.029e+00,1.116e+00,1.613e+00,1.115e+00,1.560e+00,9.921e-01,8.773e-01,1.202e+00,6.802e-01,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,7.821e-01,1.153e+00,1.443e+00,1.393e+00,3.840e-01,9.590e-01,1.878e+00,1.676e+00,4.662e-01,1.769e+00,1.512e+00,1.041e+00,1.798e+00,1.395e+00,4.529e-01,1.020e+00,2.311e+00,8.841e-01,1.443e+00,8.901e-01,1.270e+00,5.151e-01,7.789e-01,6.501e-01,1.520e+00,9.706e-01,1.171e+00,1.453e+00,9.776e-01,1.558e+00,8.193e-01,8.773e-01,1.454e+00,1.455e+00,1.289e+00,5.403e-01,8.033e-01,8.582e-01,1.026e+00
Max Stress 3,Monitor Only, N/m^2,3.211e+08,5.863e+08,2.381e+08,4.537e+08,4.122e+08,4.979e+08,2.713e+08,2.445e+08,3.248e+08,3.152e+08,4.853e+08,6.346e+08,5.701e+08,6.860e+08,4.340e+08,4.078e+08,3.889e+08,5.193e+08,5.305e+08,3.842e+08,3.473e+08,3.534e+08,4.184e+08,7.119e+08,2.899e+08,9.203e+08,3.091e+08,3.451e+08,1.949e+08,5.386e+08,3.492e+08,3.173e+08,2.586e+08,7.681e+08,4.579e+08,5.273e+08,2.770e+08,3.188e+08,5.129e+08,3.039e+08,6.385e+08,2.923e+08,3.357e+08,3.281e+08,3.515e+08,2.015e+08,4.227e+08,3.513e+08,1.938e+08,3.335e+08,3.233e+08,4.912e+08,3.146e+08,2.398e+08,4.865e+08,3.526e+08,3.304e+08,3.383e+08,Rebuild Error,4.432e+08,3.826e+08,2.788e+08,3.059e+08,2.328e+08,7.563e+08,2.984e+08,4.777e+08,5.012e+08,2.473e+08,3.120e+08,3.489e+08,3.102e+08,2.341e+08,2.194e+08,3.666e+08,6.321e+08,Simulation Eccentric Stiffness (3) fails.,3.400e+08,4.359e+08,3.276e+08,2.017e+09,2.620e+08,4.321e+08,4.218e+08,4.463e+08,2.701e+08,3.121e+08,2.616e+08,4.406e+08,3.845e+08,3.261e+08,4.679e+08,2.428e+08,5.888e+08,4.541e+08,4.539e+08,3.199e+08,7.884e+08,2.982e+08,4.441e+08,5.390e+08,3.227e+08,5.170e+08,4.470e+08,4.123e+08,2.852e+08,4.127e+08,2.950e+08,4.636e+08,5.243e+08,3.827e+08,4.043e+08,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,3.516e+08,3.990e+08,3.188e+08,3.302e+08,7.162e+08,2.868e+08,2.450e+08,2.744e+08,5.899e+08,2.600e+08,3.042e+08,4.419e+08,2.558e+08,3.298e+08,6.071e+08,4.508e+08,1.991e+08,5.203e+08,3.188e+08,5.168e+08,3.621e+08,8.930e+08,3.531e+08,4.230e+08,3.026e+08,4.739e+08,3.929e+08,3.165e+08,4.705e+08,2.953e+08,5.614e+08,5.243e+08,3.163e+08,3.162e+08,3.569e+08,8.513e+08,3.423e+08,5.360e+08,4.485e+08
Mass,Monitor Only, kg,3.67,6.2,8.37,2.01,7.27,6.41,8.57,7.04,2.24,7.53,8.29,1.95,1.81,2.26,6.77,6.16,7.03,6.41,6.46,6.57,2.18,2.76,6.73,5.64,7.96,4.76,8.06,7.22,7.81,6.31,7.46,7.62,8.18,1.41,6.48,1.63,6.91,6.97,5.83,7.85,5.99,7.66,2.5,2.65,2.36,8.19,7.04,6.89,9.34,5.83,2.58,6.6,7.52,7.88,1.99,6.41,6.94,7.4,Rebuild Error,6.38,5.82,7.5,2.04,8.33,1.59,8.32,6.29,1.61,7.55,7.5,7.27,7.85,8.08,7.31,7.62,6.09,Simulation Eccentric Stiffness (3) fails.,2.41,6.49,7.34,7.8,9.07,6.24,6.31,6.29,7.53,7.83,7.03,6.15,7.09,8.36,2.01,7.87,7.88,6.64,1.9,8.14,4.72,7.79,6.98,1.65,1.83,1.92,7.06,6.23,8.08,6.26,7.86,6.03,5.91,6.78,1.98,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,2.46,7.59,7.55,8.46,1.85,1.9,9,8.82,1.66,7.97,7.07,6.21,7.68,7.15,2.3,7.97,6.5,6.5,7.39,5.94,6.94,4.21,1.9,2.19,8.53,6.37,6.45,7.31,7.08,5.76,6.27,7.75,8.1,6.09,6.52,8.18,1.8,6.25,6.36
Dropout X Displacement,Monitor Only, m,-4.131e-03,2.592e-02,6.685e-03,-1.012e-02,1.241e-02,-7.480e-03,6.800e-03,7.098e-03,-6.659e-03,8.760e-03,9.676e-03,7.275e-02,7.345e-02,-5.409e-03,-5.327e-03,1.450e-02,1.494e-02,2.198e-02,-8.209e-03,1.278e-02,-7.798e-03,2.481e-02,1.275e-02,3.570e-02,1.015e-02,-5.238e-03,7.984e-03,8.555e-03,5.403e-03,2.369e-02,9.773e-03,8.485e-03,7.628e-03,-2.576e-02,1.553e-02,-1.074e-02,7.982e-03,1.172e-02,-5.154e-03,7.914e-03,3.254e-02,8.688e-03,2.870e-02,2.691e-02,-6.347e-03,5.590e-03,-5.920e-03,1.434e-02,3.768e-03,-4.011e-03,2.511e-02,1.558e-02,8.672e-03,7.218e-03,-7.890e-03,1.200e-02,-3.930e-03,9.215e-03,Rebuild Error,-5.788e-03,-5.311e-03,1.062e-02,-8.764e-03,7.543e-03,-1.588e-02,7.242e-03,2.051e-02,-1.893e-02,7.176e-03,8.660e-03,1.439e-02,8.203e-03,6.863e-03,4.966e-03,9.034e-03,3.008e-02,Simulation Eccentric Stiffness (3) fails.,-6.115e-03,1.362e-02,1.220e-02,7.237e-03,4.694e-03,-4.813e-03,-4.292e-03,-4.906e-03,8.219e-03,7.826e-03,9.236e-03,-5.609e-03,1.054e-02,6.708e-03,-1.338e-02,8.219e-03,8.133e-03,1.896e-02,-1.620e-02,8.743e-03,-1.217e-02,-3.458e-03,1.763e-02,-1.011e-02,-1.119e-02,5.821e-02,-6.126e-03,-5.506e-03,6.792e-03,1.422e-02,8.272e-03,-6.011e-03,2.110e-02,-4.798e-03,-7.796e-03,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,2.880e-02,9.464e-03,8.905e-03,7.074e-03,-1.058e-02,-8.470e-03,5.726e-03,5.915e-03,-2.394e-02,7.472e-03,9.502e-03,1.826e-02,6.811e-03,1.276e-02,-6.127e-03,1.066e-02,4.801e-03,1.766e-02,8.939e-03,-7.394e-03,1.505e-02,-1.237e-02,-1.216e-02,-6.457e-03,6.141e-03,1.662e-02,1.376e-02,-3.642e-03,1.748e-02,-3.021e-03,2.059e-02,8.901e-03,7.728e-03,-3.137e-03,1.229e-02,9.322e-03,-1.329e-02,2.522e-02,1.822e-02
Dropout Y Displacement,Monitor Only, m,7.866e-03,-4.489e-02,-1.161e-02,1.665e-02,-2.230e-02,1.320e-02,-1.456e-02,-1.201e-02,1.302e-02,-1.697e-02,-1.706e-02,-1.617e-01,-1.437e-01,1.304e-02,1.002e-02,-2.871e-02,-2.801e-02,-4.395e-02,1.461e-02,-2.501e-02,1.587e-02,-5.967e-02,-2.738e-02,-6.434e-02,-1.793e-02,9.524e-03,-1.805e-02,-1.828e-02,-8.845e-03,-4.251e-02,-2.226e-02,-1.866e-02,-1.438e-02,3.938e-02,-3.275e-02,1.698e-02,-1.282e-02,-2.136e-02,9.687e-03,-1.777e-02,-5.966e-02,-1.623e-02,-5.905e-02,-5.913e-02,1.443e-02,-9.112e-03,1.080e-02,-2.472e-02,-6.935e-03,7.033e-03,-5.338e-02,-3.493e-02,-1.758e-02,-1.198e-02,1.527e-02,-2.511e-02,7.452e-03,-1.745e-02,Rebuild Error,1.024e-02,9.372e-03,-1.772e-02,1.640e-02,-1.385e-02,2.638e-02,-1.586e-02,-3.667e-02,3.204e-02,-1.264e-02,-1.784e-02,-2.473e-02,-1.841e-02,-1.132e-02,-8.115e-03,-2.222e-02,-5.385e-02,Simulation Eccentric Stiffness (3) fails.,1.474e-02,-2.771e-02,-2.029e-02,-2.241e-02,-8.416e-03,9.010e-03,7.533e-03,8.729e-03,-1.540e-02,-1.649e-02,-1.391e-02,1.016e-02,-2.314e-02,-1.474e-02,2.529e-02,-1.422e-02,-1.354e-02,-3.376e-02,2.724e-02,-1.597e-02,1.959e-02,6.128e-03,-3.192e-02,1.669e-02,1.874e-02,-1.173e-01,1.043e-02,1.034e-02,-1.310e-02,-2.673e-02,-1.871e-02,1.011e-02,-4.503e-02,8.218e-03,1.455e-02,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,-6.084e-02,-2.463e-02,-1.645e-02,-1.392e-02,3.139e-02,1.401e-02,-1.177e-02,-1.362e-02,4.103e-02,-1.417e-02,-1.877e-02,-3.288e-02,-1.277e-02,-2.325e-02,1.129e-02,-1.830e-02,-5.446e-03,-4.027e-02,-1.812e-02,1.316e-02,-2.586e-02,1.887e-02,2.098e-02,1.312e-02,-1.553e-02,-3.481e-02,-2.797e-02,6.664e-03,-2.997e-02,5.395e-03,-4.502e-02,-2.192e-02,-1.810e-02,5.763e-03,-2.353e-02,-1.610e-02,2.157e-02,-4.614e-02,-3.339e-02
BB X Displacement,Monitor Only, m,-4.484e-03,2.949e-02,7.877e-03,-1.006e-02,1.497e-02,-8.172e-03,8.561e-03,8.799e-03,-7.105e-03,1.047e-02,1.117e-02,8.908e-02,8.388e-02,-5.508e-03,-5.849e-03,1.790e-02,1.776e-02,2.667e-02,-9.000e-03,1.551e-02,-8.457e-03,3.184e-02,1.617e-02,4.123e-02,1.173e-02,-5.755e-03,1.012e-02,1.146e-02,6.574e-03,2.731e-02,1.241e-02,1.091e-02,8.951e-03,-2.465e-02,1.941e-02,-9.783e-03,9.631e-03,1.347e-02,-5.668e-03,1.026e-02,3.782e-02,1.024e-02,3.369e-02,3.299e-02,-6.948e-03,6.661e-03,-6.446e-03,1.640e-02,4.983e-03,-4.215e-03,3.027e-02,2.015e-02,1.071e-02,8.372e-03,-7.660e-03,1.436e-02,-4.309e-03,1.093e-02,Rebuild Error,-6.253e-03,-5.643e-03,1.218e-02,-9.281e-03,8.932e-03,-1.550e-02,9.145e-03,2.361e-02,-1.924e-02,8.639e-03,1.077e-02,1.649e-02,1.061e-02,7.998e-03,6.462e-03,1.267e-02,3.469e-02,Simulation Eccentric Stiffness (3) fails.,-6.738e-03,1.720e-02,1.424e-02,1.147e-02,5.894e-03,-5.266e-03,-4.703e-03,-5.337e-03,9.933e-03,9.837e-03,1.052e-02,-6.036e-03,1.357e-02,8.682e-03,-1.439e-02,9.648e-03,9.557e-03,2.217e-02,-1.674e-02,1.037e-02,-1.273e-02,-3.776e-03,2.027e-02,-9.143e-03,-1.143e-02,6.709e-02,-6.649e-03,-6.036e-03,7.996e-03,1.693e-02,1.074e-02,-6.578e-03,2.596e-02,-5.161e-03,-7.585e-03,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,3.439e-02,1.354e-02,1.039e-02,8.560e-03,-7.225e-03,-8.503e-03,7.251e-03,7.970e-03,-2.509e-02,9.021e-03,1.111e-02,2.114e-02,8.544e-03,1.482e-02,-6.411e-03,1.226e-02,5.669e-03,2.268e-02,1.102e-02,-7.919e-03,1.737e-02,-1.244e-02,-1.264e-02,-6.470e-03,8.648e-03,2.057e-02,1.638e-02,-3.956e-03,2.016e-02,-3.169e-03,2.599e-02,1.169e-02,1.009e-02,-3.337e-03,1.432e-02,1.085e-02,-1.345e-02,2.937e-02,2.177e-02
BB Y Displacement,Monitor Only, m,3.315e-03,-2.133e-02,-6.407e-03,9.306e-03,-1.000e-02,6.546e-03,-8.186e-03,-7.752e-03,7.649e-03,-9.081e-03,-8.333e-03,-9.727e-02,-8.366e-02,6.104e-03,5.166e-03,-1.912e-02,-1.319e-02,-2.210e-02,7.065e-03,-1.356e-02,9.429e-03,-3.642e-02,-1.609e-02,-3.093e-02,-8.479e-03,5.893e-03,-1.067e-02,-1.142e-02,-4.471e-03,-2.009e-02,-1.325e-02,-1.108e-02,-7.733e-03,1.835e-02,-1.805e-02,8.325e-03,-7.101e-03,-1.083e-02,5.782e-03,-1.080e-02,-2.813e-02,-8.287e-03,-3.453e-02,-3.510e-02,8.811e-03,-4.470e-03,5.406e-03,-1.199e-02,-4.026e-03,3.799e-03,-3.106e-02,-2.074e-02,-1.068e-02,-6.860e-03,8.313e-03,-1.434e-02,4.027e-03,-1.029e-02,Rebuild Error,5.473e-03,4.926e-03,-8.271e-03,9.370e-03,-6.995e-03,1.492e-02,-9.400e-03,-1.777e-02,1.797e-02,-6.628e-03,-1.056e-02,-1.124e-02,-1.088e-02,-5.653e-03,-5.548e-03,-1.411e-02,-2.527e-02,Simulation Eccentric Stiffness (3) fails.,8.569e-03,-1.693e-02,-8.668e-03,-1.463e-02,-4.322e-03,5.057e-03,4.250e-03,4.853e-03,-8.065e-03,-9.570e-03,-6.656e-03,5.676e-03,-1.451e-02,-9.247e-03,1.532e-02,-6.763e-03,-6.101e-03,-1.555e-02,1.535e-02,-7.416e-03,9.879e-03,3.180e-03,-1.480e-02,8.050e-03,1.021e-02,-7.311e-02,4.895e-03,5.438e-03,-7.166e-03,-1.639e-02,-1.104e-02,5.368e-03,-2.475e-02,4.329e-03,8.255e-03,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,-3.532e-02,-1.611e-02,-9.612e-03,-8.290e-03,8.570e-03,7.717e-03,-6.869e-03,-8.336e-03,2.254e-02,-7.423e-03,-1.049e-02,-1.631e-02,-7.038e-03,-1.122e-02,6.275e-03,-8.240e-03,-2.395e-03,-2.304e-02,-1.052e-02,6.701e-03,-1.203e-02,8.203e-03,1.152e-02,7.532e-03,-1.015e-02,-1.794e-02,-1.559e-02,3.637e-03,-1.311e-02,2.998e-03,-2.517e-02,-1.371e-02,-1.124e-02,3.235e-03,-1.265e-02,-7.157e-03,1.161e-02,-2.184e-02,-1.627e-02
BB Z Displacement,Monitor Only, m,8.923e-04,1.951e-03,4.739e-04,2.398e-03,1.185e-03,1.923e-03,4.985e-04,3.482e-04,1.765e-03,6.121e-04,9.134e-04,3.536e-03,3.475e-03,1.666e-03,1.386e-03,7.003e-04,1.207e-03,1.365e-03,2.196e-03,8.326e-04,1.909e-03,1.301e-03,6.850e-04,1.962e-03,8.866e-04,2.264e-03,4.568e-04,4.313e-04,5.050e-04,1.690e-03,5.273e-04,4.773e-04,5.122e-04,3.672e-03,9.767e-04,2.210e-03,5.675e-04,8.507e-04,1.278e-03,4.096e-04,1.797e-03,6.453e-04,1.555e-03,1.435e-03,1.503e-03,5.383e-04,1.485e-03,1.094e-03,2.677e-04,9.319e-04,1.518e-03,7.956e-04,4.251e-04,5.623e-04,1.693e-03,7.326e-04,1.014e-03,4.990e-04,Rebuild Error,1.685e-03,1.128e-03,9.238e-04,2.192e-03,6.105e-04,2.243e-03,3.933e-04,1.445e-03,3.142e-03,5.400e-04,4.541e-04,1.302e-03,4.862e-04,5.780e-04,1.877e-04,4.679e-04,2.057e-03,Simulation Eccentric Stiffness (3) fails.,1.412e-03,6.902e-04,1.280e-03,2.459e-04,4.479e-04,1.058e-03,1.262e-03,1.286e-03,6.085e-04,4.619e-04,9.426e-04,1.317e-03,4.798e-04,2.790e-04,2.971e-03,7.111e-04,7.971e-04,1.592e-03,3.048e-03,8.562e-04,1.626e-03,9.810e-04,1.499e-03,2.044e-03,2.616e-03,2.660e-03,1.857e-03,1.142e-03,5.983e-04,8.174e-04,4.975e-04,1.608e-03,1.252e-03,1.469e-03,1.496e-03,Simulation Eccentric Stiffness (3) fails.,Simulation Eccentric Stiffness (3) fails.,1.683e-03,4.300e-04,5.268e-04,3.610e-04,1.429e-03,2.253e-03,3.253e-04,3.444e-04,3.948e-03,5.470e-04,5.894e-04,1.236e-03,5.022e-04,1.023e-03,2.493e-03,1.064e-03,5.533e-04,9.803e-04,4.932e-04,1.515e-03,1.273e-03,1.774e-03,2.626e-03,1.370e-03,2.468e-04,1.243e-03,8.090e-04,9.115e-04,1.734e-03,7.965e-04,1.157e-03,4.152e-04,3.581e-04,7.379e-04,7.795e-04,9.720e-04,2.779e-03,1.694e-03,1.481e-03
