Design Study 1
Scenarios/Iterations:, 158
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158
DT Thickness,,m,0.0087,0.005228,0.003093,0.002494,0.001633,0.005743,0.002499,0.00069657,0.00040693,0.002727,0.00051265,0.005497,0.002495,0.001012,0.002916,0.006425,0.00076136,0.005375,0.002173,0.002126,0.002189,0.001847,0.004565,0.00198,0.006138,0.00083751,0.001225,0.004531,0.002926,0.001932,0.001305,0.00059096,0.00019901,0.002726,0.003375,0.008109,0.0021,0.001414,0.001137,0.00272,0.00084897,0.006847,0.00225,0.002755,0.00053097,0.00038645,0.003114,0.001226,0.004972,0.00013836,0.004515,0.00178,0.002251,0.001346,0.00070677,0.00052531,0.00311,1.75e-06,0.00071359,0.00087115,0.003142,0.002232,0.003158,0.007002,0.002249,0.003018,0.001875,0.001064,0.002418,0.00061522,0.002326,0.006945,0.003149,0.00067637,0.00072227,0.002614,0.001027,0.002756,0.00047422,0.001632,0.001659,0.00022518,0.0006854,0.001564,0.002274,0.00058503,0.00081491,0.00051988,0.003086,0.003905,0.002148,0.002969,0.004002,0.003854,0.006512,0.002819,0.006528,0.002931,0.006714,0.003385,0.001932,0.002191,0.001323,1.384e-05,0.002097,0.006157,0.007911,0.005605,0.00574,0.00174,3.258e-05,0.006468,0.004256,0.006097,0.001111,0.00016866,0.005895,0.001182,0.003071,0.002037,0.003336,0.00085319,0.00039915,0.005656,0.003094,0.002734,0.002972,0.001042,0.002644,0.003003,0.002346,0.001147,0.002817,0.002213,0.00071494,0.005788,0.005735,0.00055519,0.00013296,0.00611,0.002013,0.001941,0.0054,0.00034421,0.001704,0.001082,0.0001663,0.002809,7.774e-05,0.003048,0.001976,0.00010122,0.00227,0.00077372,0.00086135,0.001687,0.002024,0.001702,0.003088
DT Length,,N/A,0.640139,0.622631,0.601527,0.604870,0.614440,0.621959,0.651479,0.619598,0.769856,0.629348,0.648093,0.610158,0.638611,0.619675,0.628335,0.637948,0.697625,0.608713,0.639041,0.754831,0.629126,0.714375,0.628125,0.746883,0.603408,0.617900,0.592794,0.734928,0.637465,0.643584,0.959744,0.601630,0.594054,0.606493,0.597984,0.634346,0.619653,0.631725,0.598382,0.612583,0.624920,0.632200,0.630659,0.612782,0.581200,0.638183,0.612200,0.592826,0.852025,0.816999,0.636980,0.608268,0.631758,0.654872,0.692461,0.616453,0.631230,0.585750,0.619117,0.730699,0.628017,0.627357,0.641668,0.635741,0.620741,0.603794,0.623372,0.988174,0.635699,0.608464,0.632545,0.611112,0.639120,0.628384,0.608851,0.646027,0.602215,0.619880,0.594301,0.608120,0.594487,0.584674,0.611120,0.617215,0.631333,0.641377,0.598958,0.594648,0.640311,0.608556,0.633965,0.613126,0.604843,0.645173,0.627941,0.638176,0.602122,0.600327,0.632684,0.598133,0.626375,0.637831,0.670267,0.613404,0.644673,0.635236,0.621649,0.623341,0.618217,0.719842,0.631145,0.632678,0.616613,0.728326,0.615853,0.614890,0.618002,0.624445,0.641702,0.636827,0.641824,0.625794,0.573176,0.625974,0.647781,0.772874,0.620508,0.599595,0.631203,0.633496,0.640612,0.685645,0.591327,0.632246,0.714039,0.634172,0.605637,0.589749,0.601157,0.607726,0.611901,0.670711,0.618027,0.619388,0.614677,0.778791,0.584807,0.623018,0.616271,0.622145,0.715176,0.639777,0.638802,0.619230,0.608111,0.707053,0.600372,0.640057,0.631013
Min FS 1,Monitor Only,,1.982e+00,2.208e-01,1.257e+00,3.253e-02,1.348e+00,8.332e-01,8.951e-01,9.264e-01,4.534e-01,1.559e+00,8.893e-01,5.333e-01,6.675e-01,1.020e+00,1.744e+00,2.170e+00,6.245e-01,1.843e+00,1.073e+00,9.771e-01,1.296e+00,7.988e-01,1.994e+00,8.652e-01,1.590e+00,1.035e+00,1.117e+00,2.891e-01,1.426e+00,1.280e+00,2.060e-01,9.363e-01,5.773e-01,1.422e-01,3.633e-01,2.380e+00,1.421e+00,1.047e+00,1.154e+00,1.409e+00,8.826e-01,2.027e+00,1.460e+00,1.311e+00,7.462e-01,4.148e-01,1.089e+00,8.439e-01,2.461e-01,1.966e-01,1.817e+00,1.368e+00,3.183e-01,1.393e+00,5.176e-01,8.428e-01,1.471e+00,Simulation Eccentric Stiffness (3) fails.,9.744e-01,6.209e-01,1.493e+00,1.479e+00,1.693e+00,2.283e+00,1.352e+00,2.696e-01,1.391e+00,1.620e-01,1.012e+00,8.120e-01,1.108e+00,4.667e-01,1.524e+00,9.576e-01,9.704e-01,1.522e+00,1.122e+00,1.185e+00,8.454e-01,1.166e+00,1.099e+00,5.780e-01,9.910e-01,1.423e+00,8.914e-01,6.898e-01,1.039e+00,8.092e-01,1.607e+00,5.503e-01,8.759e-01,1.344e+00,1.729e+00,1.889e+00,2.262e+00,1.269e+00,1.770e+00,4.787e-01,1.857e+00,8.291e-01,1.466e+00,1.332e+00,1.229e+00,9.387e-02,1.398e+00,2.159e+00,2.193e+00,2.039e+00,1.946e+00,1.373e+00,1.528e-01,2.256e+00,3.778e-01,2.809e-01,1.207e+00,4.298e-01,1.976e+00,9.890e-01,1.607e+00,1.189e+00,1.488e+00,1.060e+00,2.297e-01,1.009e+00,1.467e+00,9.145e-01,1.634e+00,1.123e+00,1.332e+00,1.585e+00,1.252e+00,6.251e-01,4.321e-01,8.497e-01,6.348e-01,2.100e+00,1.943e+00,9.253e-01,2.866e-01,1.984e+00,1.213e+00,1.490e+00,6.975e-01,4.216e-01,1.302e+00,6.995e-01,2.209e-01,1.285e+00,2.804e-01,1.454e+00,8.077e-01,2.552e-01,1.076e+00,1.025e+00,1.027e+00,7.154e-01,5.185e-01,1.080e+00,7.123e-01
Max Stress 1,Monitor Only, N/m^2,2.321e+08,2.084e+09,3.660e+08,1.414e+10,3.411e+08,5.521e+08,3.072e+08,4.965e+08,6.065e+08,2.951e+08,5.173e+08,8.625e+08,6.891e+08,4.511e+08,2.637e+08,2.120e+08,4.403e+08,2.496e+08,4.287e+08,2.814e+08,3.548e+08,3.443e+08,2.307e+08,3.178e+08,2.893e+08,4.444e+08,4.117e+08,9.512e+08,3.225e+08,3.593e+08,1.335e+09,4.913e+08,7.969e+08,3.235e+09,1.266e+09,1.933e+08,3.238e+08,4.393e+08,3.986e+08,3.264e+08,5.212e+08,2.270e+08,3.151e+08,3.508e+08,6.165e+08,1.109e+09,4.224e+08,5.451e+08,1.118e+09,1.398e+09,2.532e+08,3.362e+08,1.445e+09,3.302e+08,5.313e+08,5.458e+08,3.128e+08,Simulation Eccentric Stiffness (3) fails.,4.721e+08,4.429e+08,3.081e+08,3.110e+08,2.717e+08,2.015e+08,3.402e+08,1.706e+09,3.307e+08,1.697e+09,4.547e+08,5.665e+08,4.153e+08,9.856e+08,3.018e+08,4.804e+08,4.740e+08,3.023e+08,4.101e+08,3.880e+08,5.441e+08,3.945e+08,4.187e+08,7.958e+08,4.642e+08,3.233e+08,5.160e+08,6.668e+08,4.427e+08,5.684e+08,2.862e+08,8.358e+08,5.252e+08,3.422e+08,2.661e+08,2.436e+08,2.034e+08,3.625e+08,2.599e+08,9.610e+08,2.478e+08,5.548e+08,3.137e+08,3.453e+08,3.742e+08,4.900e+09,3.290e+08,2.130e+08,2.098e+08,2.256e+08,2.364e+08,3.350e+08,3.010e+09,2.039e+08,1.218e+09,9.791e+08,3.812e+08,1.070e+09,2.328e+08,4.651e+08,2.863e+08,3.868e+08,3.092e+08,4.338e+08,2.002e+09,4.561e+08,3.135e+08,3.007e+08,2.814e+08,4.096e+08,3.454e+08,2.902e+08,3.673e+08,4.399e+08,1.064e+09,3.236e+08,4.332e+08,2.190e+08,2.367e+08,4.972e+08,1.605e+09,2.318e+08,3.792e+08,3.088e+08,6.595e+08,6.523e+08,3.533e+08,3.932e+08,2.082e+09,3.580e+08,1.641e+09,3.163e+08,3.405e+08,1.802e+09,4.277e+08,4.489e+08,4.478e+08,3.844e+08,8.872e+08,4.259e+08,6.458e+08
Min FS 3,Monitor Only,,1.971e+00,8.980e-01,6.191e-01,2.420e-01,1.346e+00,1.185e+00,8.022e-01,9.455e-01,3.159e-01,1.338e+00,6.507e-01,9.672e-01,1.040e+00,9.643e-01,1.367e+00,1.443e+00,4.876e-01,9.725e-01,9.480e-01,8.850e-01,1.157e+00,7.106e-01,1.287e+00,7.638e-01,9.835e-01,1.021e+00,1.234e+00,7.888e-01,1.210e+00,1.200e+00,5.550e-01,1.010e+00,7.479e-01,6.190e-01,7.995e-01,1.590e+00,1.274e+00,1.047e+00,1.175e+00,7.538e-01,8.346e-01,1.422e+00,1.268e+00,5.844e-01,8.112e-01,3.620e-01,1.415e+00,1.134e+00,6.734e-01,1.755e-01,1.363e+00,1.282e+00,9.334e-01,1.236e+00,4.130e-01,9.021e-01,1.161e+00,Simulation Eccentric Stiffness (3) fails.,9.906e-01,4.398e-01,1.057e+00,1.322e+00,1.338e+00,1.542e+00,1.313e+00,1.137e+00,1.249e+00,4.310e-01,1.070e+00,8.036e-01,1.005e+00,1.025e+00,1.279e+00,7.739e-01,8.948e-01,1.330e+00,1.104e+00,8.627e-01,9.879e-01,1.196e+00,1.420e+00,7.536e-01,1.019e+00,1.403e+00,9.170e-01,5.313e-01,1.076e+00,9.033e-01,1.325e+00,1.392e+00,8.355e-01,7.135e-01,8.048e-01,1.429e+00,1.519e+00,1.182e+00,8.868e-01,6.289e-01,1.489e+00,6.256e-01,1.446e+00,1.218e+00,1.149e+00,1.676e-01,1.332e+00,1.423e+00,1.175e+00,1.268e+00,1.125e+00,1.147e+00,2.276e-01,1.486e+00,9.565e-01,7.588e-01,1.188e+00,5.336e-01,1.150e+00,1.006e+00,1.341e+00,1.129e+00,1.215e+00,1.068e+00,6.837e-01,1.301e+00,1.278e+00,7.633e-01,1.394e+00,1.124e+00,1.137e+00,1.316e+00,1.110e+00,5.887e-01,2.189e-01,7.391e-01,5.859e-01,1.455e+00,8.841e-01,1.035e+00,3.597e-01,9.381e-01,1.286e+00,1.713e+00,1.403e+00,4.788e-01,1.306e+00,5.077e-01,3.018e-01,1.377e+00,3.771e-01,9.747e-01,7.071e-01,2.921e-01,1.051e+00,1.041e+00,1.037e+00,5.867e-01,1.075e+00,1.060e+00,1.037e+00
Max Stress 3,Monitor Only, N/m^2,2.334e+08,5.123e+08,7.430e+08,1.901e+09,3.419e+08,3.882e+08,3.428e+08,4.865e+08,8.706e+08,3.439e+08,7.070e+08,4.756e+08,4.423e+08,4.770e+08,3.364e+08,3.188e+08,5.640e+08,4.730e+08,4.853e+08,3.107e+08,3.975e+08,3.870e+08,3.576e+08,3.601e+08,4.677e+08,4.507e+08,3.728e+08,3.486e+08,3.800e+08,3.834e+08,4.955e+08,4.552e+08,6.150e+08,7.431e+08,5.754e+08,2.894e+08,3.611e+08,4.392e+08,3.914e+08,6.102e+08,5.511e+08,3.235e+08,3.627e+08,7.871e+08,5.671e+08,1.271e+09,3.251e+08,4.057e+08,4.084e+08,1.567e+09,3.376e+08,3.589e+08,4.928e+08,3.720e+08,6.659e+08,5.099e+08,3.963e+08,Simulation Eccentric Stiffness (3) fails.,4.644e+08,6.253e+08,4.351e+08,3.480e+08,3.439e+08,2.984e+08,3.503e+08,4.045e+08,3.682e+08,6.381e+08,4.298e+08,5.724e+08,4.575e+08,4.488e+08,3.598e+08,5.944e+08,5.141e+08,3.459e+08,4.166e+08,5.332e+08,4.656e+08,3.848e+08,3.240e+08,6.104e+08,4.515e+08,3.278e+08,5.016e+08,8.658e+08,4.276e+08,5.093e+08,3.472e+08,3.305e+08,5.506e+08,6.447e+08,5.716e+08,3.219e+08,3.028e+08,3.892e+08,5.187e+08,7.314e+08,3.090e+08,7.354e+08,3.181e+08,3.778e+08,4.004e+08,2.745e+09,3.454e+08,3.232e+08,3.913e+08,3.628e+08,4.089e+08,4.009e+08,2.021e+09,3.095e+08,4.809e+08,3.624e+08,3.872e+08,8.621e+08,3.999e+08,4.574e+08,3.431e+08,4.076e+08,3.786e+08,4.308e+08,6.728e+08,3.535e+08,3.600e+08,3.603e+08,3.300e+08,4.092e+08,4.044e+08,3.495e+08,4.145e+08,4.671e+08,2.101e+09,3.721e+08,4.694e+08,3.162e+08,5.203e+08,4.444e+08,1.279e+09,4.904e+08,3.577e+08,2.685e+08,3.280e+08,5.744e+08,3.521e+08,5.416e+08,1.524e+09,3.340e+08,1.220e+09,4.719e+08,3.889e+08,1.575e+09,4.376e+08,4.418e+08,4.436e+08,4.687e+08,4.279e+08,4.338e+08,4.438e+08
Mass,Monitor Only, kg,7.72,6.36,5.6,4.17,4.34,7.18,2.81,3.97,3.99,5.37,7.93,7.43,3.75,2.83,7.84,8.67,3.37,7.55,3.47,4.12,3.97,2.97,6.81,3.51,8.21,3.59,3.72,5.42,6.19,5.24,8.62,3.17,3.28,4.39,5.67,10.46,4.54,4,3.58,4.59,4.76,8.32,4.5,4.77,3.01,6.87,5.52,2.95,8.35,4.98,6.36,4.47,3.21,8.55,2.75,3.96,5.1,Simulation Eccentric Stiffness (3) fails.,4.01,3.43,6.03,5.3,5.8,9.64,4.24,5.04,4.43,9.37,3.68,3.14,3.55,7.79,5.86,5.65,3.41,6.26,3.59,5.03,3.21,3.69,3.99,2.97,3.63,5.1,4.05,7.02,3.62,2.59,6.54,5.93,5.01,5.3,6.86,8.52,7.84,4.38,9.06,4.76,8.44,5.87,5.78,4.48,7.69,3.77,6.96,8.92,9.51,8.57,8.62,10.01,5.82,8.17,5.97,5.56,4.07,3.61,7.58,4.4,6.76,4.06,5.91,4.56,2.64,7.14,7.78,4.27,5.42,3.73,5.08,5.15,3.63,2.76,4.7,1.93,3.52,7.55,8.04,3.24,2.1,8.18,4.01,9.67,6.59,1.48,4.16,4.06,2.4,4.78,4.06,5.56,2.9,6.7,3.87,4.21,3.19,2.68,4.05,5.66,4.72
Dropout X Displacement,Monitor Only, m,-2.148e-03,-1.924e-03,-3.030e-03,-4.091e-03,-3.616e-03,-1.794e-03,-1.028e-02,-6.130e-03,-2.285e-02,-3.200e-03,-5.212e-03,-1.494e-03,-4.678e-03,-5.127e-03,-2.498e-03,-1.709e-03,-1.348e-02,-1.680e-03,-5.991e-03,-9.705e-03,-4.341e-03,-1.201e-02,-2.186e-03,-1.122e-02,-1.346e-03,-5.122e-03,-4.534e-03,3.140e-02,-3.595e-03,-4.028e-03,5.656e-02,-5.763e-03,-8.770e-03,-3.323e-03,-2.375e-03,-1.574e-03,-3.569e-03,-5.221e-03,-4.631e-03,-3.855e-03,-5.941e-03,-1.575e-03,-3.533e-03,-3.962e-03,-6.460e-03,-9.548e-03,-2.832e-03,-4.903e-03,3.467e-02,-3.070e-02,-2.203e-03,-3.742e-03,-4.750e-03,-3.296e-03,-1.827e-02,-6.037e-03,-3.238e-03,Simulation Eccentric Stiffness (3) fails.,-5.361e-03,-1.465e-02,-3.037e-03,-3.435e-03,-3.002e-03,-1.661e-03,-3.507e-03,-3.046e-03,-3.577e-03,4.517e-02,-5.115e-03,-6.704e-03,-5.690e-03,-1.558e-03,-3.355e-03,-5.074e-03,-5.503e-03,-3.339e-03,-4.837e-03,-4.736e-03,-6.314e-03,-4.009e-03,-3.873e-03,-8.311e-03,-5.396e-03,-3.374e-03,-6.379e-03,-6.953e-03,-5.321e-03,-6.868e-03,-3.260e-03,-2.611e-03,-6.718e-03,-3.702e-03,-1.777e-03,-2.351e-03,-1.843e-03,-3.946e-03,-1.520e-03,-3.188e-03,-1.817e-03,-2.551e-03,-3.093e-03,-4.072e-03,-4.112e-03,-2.253e-02,-3.327e-03,-1.720e-03,-1.333e-03,-1.863e-03,-1.769e-03,-3.782e-03,-1.983e-02,-1.767e-03,-2.187e-03,3.048e-02,-4.208e-03,-1.009e-02,-1.754e-03,-5.291e-03,-2.941e-03,-4.817e-03,-3.085e-03,-4.831e-03,-7.461e-03,-1.774e-03,-3.398e-03,-1.140e-02,-2.931e-03,-4.777e-03,-3.986e-03,-3.187e-03,-4.999e-03,-1.737e-02,-4.003e-03,-1.092e-02,-1.735e-02,-1.900e-03,-1.567e-03,-6.172e-03,-1.577e-02,-1.533e-03,-3.602e-03,-3.003e-03,-2.077e-03,-2.379e-02,-3.833e-03,-1.592e-02,-9.589e-03,-3.113e-03,-1.435e-02,-3.460e-03,-1.215e-02,-1.422e-02,-5.758e-03,-5.038e-03,-5.212e-03,-1.566e-02,-3.707e-03,-4.956e-03,-3.315e-03
Dropout Y Displacement,Monitor Only, m,3.822e-03,6.523e-03,6.480e-03,1.297e-02,5.731e-03,4.172e-03,2.012e-02,9.346e-03,5.415e-02,5.701e-03,9.809e-03,3.999e-03,7.916e-03,8.199e-03,5.149e-03,3.683e-03,2.934e-02,3.791e-03,8.956e-03,2.416e-02,7.034e-03,2.559e-02,4.666e-03,2.575e-02,3.267e-03,7.741e-03,6.364e-03,-8.557e-02,6.326e-03,6.586e-03,-1.877e-01,8.261e-03,1.175e-02,7.285e-03,6.606e-03,3.477e-03,5.991e-03,7.742e-03,6.635e-03,7.505e-03,9.049e-03,3.547e-03,5.998e-03,7.454e-03,8.282e-03,1.626e-02,4.835e-03,7.334e-03,-1.241e-01,7.908e-02,4.552e-03,5.813e-03,9.582e-03,6.392e-03,3.601e-02,9.032e-03,6.211e-03,Simulation Eccentric Stiffness (3) fails.,8.166e-03,3.244e-02,6.065e-03,5.911e-03,5.602e-03,3.614e-03,5.802e-03,6.455e-03,5.872e-03,-1.567e-01,8.361e-03,9.796e-03,8.980e-03,4.269e-03,6.020e-03,8.044e-03,8.243e-03,6.031e-03,6.980e-03,7.916e-03,8.668e-03,6.130e-03,5.647e-03,1.052e-02,8.104e-03,5.447e-03,9.804e-03,1.198e-02,7.543e-03,9.686e-03,5.906e-03,5.056e-03,1.023e-02,6.885e-03,4.002e-03,4.845e-03,3.918e-03,6.957e-03,3.420e-03,7.288e-03,3.852e-03,5.590e-03,5.149e-03,6.621e-03,7.769e-03,3.136e-02,5.952e-03,3.659e-03,3.144e-03,4.005e-03,3.787e-03,8.321e-03,3.094e-02,3.841e-03,6.257e-03,-7.931e-02,6.643e-03,1.444e-02,3.871e-03,8.137e-03,5.552e-03,7.396e-03,5.733e-03,7.444e-03,9.480e-03,4.207e-03,6.388e-03,2.884e-02,5.069e-03,6.872e-03,7.008e-03,5.740e-03,7.930e-03,3.472e-02,8.714e-03,1.932e-02,3.782e-02,3.878e-03,3.566e-03,8.244e-03,2.050e-02,3.517e-03,5.721e-03,6.195e-03,4.542e-03,3.643e-02,6.010e-03,3.895e-02,1.217e-02,5.373e-03,2.055e-02,6.430e-03,2.561e-02,2.387e-02,8.388e-03,7.809e-03,7.725e-03,3.226e-02,5.845e-03,7.827e-03,6.799e-03
BB X Displacement,Monitor Only, m,-2.395e-03,-2.090e-03,-3.193e-03,-4.183e-03,-3.692e-03,-1.892e-03,-1.113e-02,-6.154e-03,-2.407e-02,-3.383e-03,-5.372e-03,-1.480e-03,-4.824e-03,-5.256e-03,-2.639e-03,-1.857e-03,-1.418e-02,-1.740e-03,-6.051e-03,-1.052e-02,-4.471e-03,-1.270e-02,-2.359e-03,-1.197e-02,-1.344e-03,-5.111e-03,-4.425e-03,3.807e-02,-3.770e-03,-4.161e-03,6.875e-02,-5.668e-03,-8.529e-03,-3.415e-03,-2.266e-03,-1.704e-03,-3.689e-03,-5.205e-03,-4.552e-03,-4.073e-03,-5.920e-03,-1.684e-03,-3.683e-03,-4.173e-03,-6.153e-03,-9.601e-03,-2.937e-03,-4.804e-03,4.368e-02,-3.261e-02,-2.377e-03,-3.780e-03,-4.816e-03,-3.447e-03,-1.864e-02,-5.997e-03,-3.434e-03,Simulation Eccentric Stiffness (3) fails.,-5.370e-03,-1.524e-02,-3.257e-03,-3.604e-03,-3.203e-03,-1.815e-03,-3.599e-03,-3.139e-03,-3.677e-03,5.576e-02,-5.263e-03,-6.611e-03,-5.850e-03,-1.606e-03,-3.579e-03,-5.099e-03,-5.467e-03,-3.569e-03,-4.775e-03,-4.922e-03,-6.135e-03,-4.005e-03,-3.820e-03,-7.926e-03,-5.390e-03,-3.447e-03,-6.583e-03,-7.017e-03,-5.223e-03,-6.714e-03,-3.457e-03,-2.720e-03,-6.829e-03,-3.836e-03,-1.762e-03,-2.575e-03,-1.991e-03,-4.120e-03,-1.570e-03,-3.258e-03,-1.980e-03,-2.573e-03,-3.217e-03,-4.206e-03,-4.243e-03,-2.187e-02,-3.489e-03,-1.852e-03,-1.410e-03,-1.995e-03,-1.867e-03,-3.991e-03,-1.974e-02,-1.920e-03,-2.251e-03,3.581e-02,-4.270e-03,-9.911e-03,-1.858e-03,-5.295e-03,-3.191e-03,-4.923e-03,-3.307e-03,-4.832e-03,-6.991e-03,-1.875e-03,-3.646e-03,-1.236e-02,-3.067e-03,-4.708e-03,-4.213e-03,-3.384e-03,-5.126e-03,-1.833e-02,-3.755e-03,-1.157e-02,-1.840e-02,-2.050e-03,-1.613e-03,-5.963e-03,-1.492e-02,-1.581e-03,-3.645e-03,-3.187e-03,-2.191e-03,-2.403e-02,-3.914e-03,-1.695e-02,-9.126e-03,-3.232e-03,-1.405e-02,-3.645e-03,-1.284e-02,-1.426e-02,-5.875e-03,-5.078e-03,-5.156e-03,-1.662e-02,-3.690e-03,-5.054e-03,-3.481e-03
BB Y Displacement,Monitor Only, m,1.957e-03,2.898e-03,4.145e-03,3.708e-03,2.993e-03,2.543e-03,1.107e-02,4.849e-03,2.763e-02,3.154e-03,4.553e-03,2.461e-03,4.129e-03,4.070e-03,3.000e-03,2.253e-03,1.449e-02,2.477e-03,4.755e-03,1.306e-02,3.775e-03,1.394e-02,2.850e-03,1.406e-02,2.216e-03,4.005e-03,3.312e-03,-4.697e-02,3.548e-03,3.441e-03,-1.023e-01,4.207e-03,5.816e-03,2.997e-03,3.517e-03,2.128e-03,3.244e-03,3.897e-03,3.439e-03,4.457e-03,4.549e-03,2.209e-03,3.270e-03,4.399e-03,4.097e-03,6.677e-03,2.618e-03,3.693e-03,-6.954e-02,3.835e-02,2.702e-03,3.107e-03,4.354e-03,3.104e-03,1.813e-02,4.605e-03,3.578e-03,Simulation Eccentric Stiffness (3) fails.,4.214e-03,1.636e-02,3.663e-03,3.235e-03,3.195e-03,2.212e-03,3.161e-03,2.730e-03,3.171e-03,-8.286e-02,4.332e-03,4.933e-03,4.642e-03,2.413e-03,3.374e-03,3.974e-03,4.210e-03,3.306e-03,3.632e-03,4.447e-03,4.322e-03,3.245e-03,2.926e-03,5.099e-03,4.185e-03,2.872e-03,5.099e-03,5.166e-03,3.896e-03,4.839e-03,3.330e-03,2.487e-03,5.205e-03,4.130e-03,2.717e-03,2.824e-03,2.359e-03,3.813e-03,2.297e-03,4.216e-03,2.307e-03,3.463e-03,2.714e-03,3.539e-03,3.993e-03,1.350e-02,3.148e-03,2.253e-03,2.059e-03,2.526e-03,2.429e-03,4.274e-03,1.224e-02,2.350e-03,3.175e-03,-4.421e-02,3.487e-03,7.006e-03,2.458e-03,4.166e-03,3.117e-03,3.882e-03,3.246e-03,3.814e-03,4.386e-03,2.552e-03,3.525e-03,1.626e-02,2.796e-03,3.572e-03,3.906e-03,3.204e-03,4.167e-03,1.871e-02,4.895e-03,1.068e-02,1.965e-02,2.297e-03,2.377e-03,4.148e-03,9.687e-03,2.326e-03,3.072e-03,2.999e-03,2.593e-03,1.869e-02,3.105e-03,2.084e-02,5.766e-03,2.962e-03,9.556e-03,3.813e-03,1.401e-02,1.006e-02,4.356e-03,4.063e-03,3.984e-03,1.837e-02,2.973e-03,4.042e-03,3.769e-03
