Design Study 1
Scenarios/Iterations:, 166
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160,Scenario 161,Scenario 162,Scenario 163,Scenario 164,Scenario 165,Scenario 166
DT Thickness,,m,0.001404,0.003354,0.007987,0.00094383,0.002399,0.001911,0.001849,0.001236,0.003986,0.00086079,0.001977,0.002211,0.00084109,0.003344,0.004132,0.001567,0.003686,0.001766,0.002454,0.00062117,0.002099,0.001681,0.001973,0.003876,0.002778,0.003878,0.00046848,0.006844,0.001182,0.007964,0.001521,0.00139,0.001901,0.00063792,0.008767,0.007143,0.003433,0.00274,0.001545,0.002593,0.003313,0.004662,0.00089037,0.001206,0.002717,0.003062,0.001695,0.00332,0.002524,0.001669,0.00096695,0.002839,0.002229,0.003443,0.002736,0.001928,0.00114,0.006843,0.004037,0.001998,0.001758,0.002128,0.006566,0.002121,0.00111,0.004217,0.002886,0.002328,0.002026,0.00367,0.001832,0.002152,0.001419,0.001931,0.002883,0.001465,0.001405,0.007675,0.00777,0.00012086,0.005683,0.002007,0.002967,0.002067,0.00048428,0.002365,0.002232,0.00065762,0.002695,0.001483,0.002667,0.001779,0.001857,0.001552,0.003802,0.001289,0.001582,0.00090955,0.003164,0.004595,0.003961,0.003953,0.002129,0.003157,0.002614,0.00036299,0.009494,0.003731,0.008491,0.001991,0.001939,0.003618,0.002612,0.00047404,0.001066,0.00056961,0.006835,0.002378,0.001804,0.001394,0.002292,0.002797,0.002316,0.002799,0.004793,0.003221,0.001727,0.001346,0.003701,0.003078,0.005752,0.001311,0.001809,0.002574,0.00046722,0.002464,0.00081833,0.002505,0.00298,0.00228,0.002557,0.003241,0.002836,0.002286,0.002829,0.002257,0.003342,0.005741,0.00069616,0.003213,0.002055,0.002172,0.001643,0.008226,0.003119,0.004162,0.001728,0.002246,0.00056202,0.003498,0.001724,0.00010941,0.001888,0.00169,0.001082,0.002267,0.00055006
DT Length,,N/A,0.631232,0.647821,0.627136,0.654181,0.623054,0.663623,0.615532,0.637183,0.684158,0.665714,0.637746,0.634093,0.637127,0.648494,0.640151,0.665227,0.660994,0.655806,0.725667,0.662120,0.620261,0.635716,0.667621,0.634342,0.633411,0.649757,0.630718,0.652097,0.699335,0.649744,0.722746,0.730830,0.748982,0.654161,0.643680,0.695974,0.649464,0.646914,0.662871,0.631182,0.550116,0.655617,0.641286,0.670008,0.660356,0.664496,0.617387,0.634100,0.650616,0.616122,0.659946,0.658459,0.655409,0.663647,0.658436,0.649164,0.644549,0.649038,0.660283,0.689647,0.660545,0.650013,0.709428,0.702134,0.660380,0.701252,0.599447,0.688719,0.610434,0.636965,0.607814,0.658490,0.650939,0.666797,0.669636,0.647014,0.736668,0.640915,0.704571,0.589810,0.662110,0.637752,0.650216,0.633186,0.659344,0.608267,0.700344,0.661623,0.625980,0.639724,0.661727,0.597770,0.656827,0.723431,0.652492,0.651656,0.639845,0.658815,0.622179,0.574923,0.654922,0.645010,0.538886,0.624908,0.656134,0.637765,0.657913,0.633718,0.656508,0.716645,0.659418,0.636578,0.617108,0.710933,0.669234,0.656798,0.577690,0.664421,0.654744,0.643119,0.747444,0.700029,0.667673,0.656669,0.669411,0.659108,0.550877,0.553116,0.649721,0.539412,0.662776,0.668873,0.653963,0.629384,0.733066,0.655657,0.729478,0.689974,0.662151,0.716241,0.592935,0.649816,0.582064,0.651251,0.640473,0.738387,0.733182,0.630484,0.663490,0.656159,0.661547,0.691229,0.660688,0.697763,0.663243,0.653564,0.601127,0.656645,0.645854,0.627721,0.627837,0.627732,0.644209,0.638839,0.659479,0.653637,0.657094
Min FS 1,Monitor Only,,3.640e+00,2.801e-01,1.469e+00,1.033e+00,6.152e-01,1.298e+00,8.645e-01,1.087e+00,4.647e-01,1.624e+00,3.587e-01,4.620e-01,3.949e-01,6.570e-01,8.676e-01,3.808e-01,6.206e-01,2.622e-01,4.082e-01,1.581e-01,4.608e-01,3.113e-01,4.207e-01,9.879e-01,3.414e-01,3.070e+00,9.490e-02,3.892e-01,1.305e-01,3.288e-01,3.337e-01,1.384e-01,2.682e-01,1.794e-01,2.375e+00,3.084e+00,2.944e-01,3.356e-01,3.150e-01,1.074e+00,1.037e+00,Rebuild Error,4.195e-01,2.724e-01,6.390e-01,4.070e-01,3.676e-01,8.774e-01,7.922e-01,3.293e-01,3.290e-01,7.436e-01,4.826e-01,8.133e-01,2.686e-01,5.669e-01,7.760e-02,5.284e-01,Simulation Eccentric Stiffness (3) fails.,1.685e-01,3.002e-01,8.051e-01,7.945e-01,4.161e-01,7.839e-01,4.708e-01,3.730e-01,2.838e-01,5.976e-01,2.304e-01,3.329e-01,Simulation Eccentric Stiffness (3) fails.,2.178e-01,3.051e+00,1.145e+00,4.655e-01,3.608e-01,5.473e-01,5.209e-01,2.160e-01,1.397e+00,1.610e+00,3.481e-01,3.006e-01,1.070e-01,8.963e-01,3.335e-01,3.023e-01,4.390e-01,6.997e-01,8.542e-01,Simulation Eccentric Stiffness (3) fails.,9.879e-01,2.283e-01,5.229e-01,3.845e-01,2.232e+00,3.187e-01,5.098e-01,4.433e-01,4.974e-01,5.355e-01,2.398e-01,7.073e-01,1.052e+00,1.692e-01,4.107e+00,5.230e-01,4.670e-01,4.692e-01,2.439e-01,4.730e-01,2.980e-01,3.724e-02,2.348e-01,3.079e-01,1.015e+00,3.307e-01,3.145e-01,2.150e-01,1.678e-01,4.203e-01,2.508e-01,1.433e-01,7.563e-01,3.197e-01,4.061e-01,1.072e+00,7.725e-01,8.851e-01,1.146e+00,6.224e-02,8.023e-01,9.888e-01,1.079e+00,3.307e-01,4.683e-01,1.938e-01,2.421e-01,2.359e+00,Simulation Eccentric Stiffness (3) fails.,4.271e-01,5.509e-01,9.602e-01,5.722e-01,2.000e-01,3.008e-01,7.665e-01,3.184e-01,5.195e-01,2.926e-01,1.116e+00,4.842e-01,9.399e-01,3.739e-01,5.249e-01,5.716e-01,3.013e-01,3.285e-01,4.598e-01,1.042e+00,2.613e-01,6.695e-01,3.051e-01,6.344e-02,2.726e-01,1.651e-01
Max Stress 1,Monitor Only, kgf/cm^2,2.273e+08,9.819e+08,3.132e+08,4.454e+08,4.470e+08,2.119e+08,9.570e+08,4.233e+08,1.781e+09,2.832e+08,1.283e+09,9.957e+08,1.165e+09,4.186e+08,3.170e+08,1.208e+09,1.333e+09,1.754e+09,2.027e+09,2.909e+09,1.796e+09,1.478e+09,6.536e+08,8.375e+08,1.348e+09,2.695e+08,2.898e+09,7.065e+08,6.339e+09,8.363e+08,1.378e+09,1.987e+09,1.715e+09,2.564e+09,3.484e+08,1.492e+08,9.342e+08,1.371e+09,1.460e+09,2.560e+08,2.652e+08,Rebuild Error,1.097e+09,1.689e+09,1.295e+09,1.130e+09,1.251e+09,3.134e+08,3.471e+08,8.351e+08,2.515e+09,6.186e+08,9.531e+08,1.017e+09,1.713e+09,1.460e+09,5.928e+09,8.706e+08,Simulation Eccentric Stiffness (3) fails.,1.632e+09,1.532e+09,3.416e+08,1.041e+09,1.105e+09,5.868e+08,9.771e+08,7.372e+08,9.690e+08,4.602e+08,1.193e+09,8.262e+08,Simulation Eccentric Stiffness (3) fails.,2.112e+09,2.712e+08,2.402e+08,1.777e+09,1.275e+09,8.405e+08,5.279e+08,2.130e+09,1.969e+08,5.140e+08,1.322e+09,1.530e+09,2.570e+09,3.068e+08,8.245e+08,9.097e+08,1.048e+09,3.930e+08,5.385e+08,Simulation Eccentric Stiffness (3) fails.,8.375e+08,2.015e+09,8.798e+08,1.196e+09,1.232e+08,1.443e+09,5.394e+08,1.038e+09,9.248e+08,8.590e+08,1.147e+09,1.170e+09,2.615e+08,1.625e+09,2.015e+08,8.796e+08,9.850e+08,9.805e+08,1.127e+09,9.725e+08,9.228e+08,1.235e+10,1.171e+09,1.494e+09,4.531e+08,1.391e+09,8.744e+08,1.279e+09,2.742e+09,1.094e+09,1.834e+09,1.918e+09,1.094e+09,1.439e+09,1.133e+09,4.291e+08,1.071e+09,3.107e+08,2.401e+08,4.419e+09,1.031e+09,4.652e+08,4.264e+08,1.391e+09,1.767e+09,1.419e+09,1.900e+09,3.508e+08,Simulation Eccentric Stiffness (3) fails.,1.077e+09,8.349e+08,8.616e+08,8.039e+08,2.300e+09,1.529e+09,1.079e+09,1.445e+09,8.854e+08,9.397e+08,7.412e+08,9.501e+08,8.803e+08,1.230e+09,8.764e+08,4.811e+08,1.527e+09,1.400e+09,1.000e+09,2.640e+08,1.761e+09,4.108e+08,1.508e+09,4.334e+09,1.009e+09,1.666e+09
Min FS 3,Monitor Only,,2.577e+00,7.611e-01,1.622e+00,8.678e-01,7.424e-01,9.207e-01,1.672e+00,6.860e-01,1.204e+00,5.554e-01,1.037e+00,1.337e+00,1.042e+00,1.325e+00,7.318e-01,1.074e+00,1.700e+00,7.383e-01,8.939e-01,4.426e-01,1.387e+00,8.929e-01,7.617e-01,2.991e+00,8.750e-01,2.397e+00,2.965e-01,1.151e+00,3.910e-01,9.021e-01,9.058e-01,3.758e-01,7.052e-01,5.253e-01,2.516e+00,1.298e+00,8.395e-01,9.156e-01,8.705e-01,7.774e-01,1.158e+00,Rebuild Error,6.087e-01,7.469e-01,1.854e+00,1.134e+00,4.982e-01,8.655e-01,7.911e-01,4.663e-01,9.815e-01,1.581e+00,1.434e+00,2.257e+00,1.000e+00,1.611e+00,2.374e-01,1.421e+00,Simulation Eccentric Stiffness (3) fails.,5.756e-01,8.607e-01,7.030e-01,2.165e+00,1.219e+00,6.900e-01,1.322e+00,6.453e-01,3.588e-01,6.902e-01,9.520e-01,1.056e+00,Simulation Eccentric Stiffness (3) fails.,3.614e-01,1.805e+00,8.840e-01,1.165e+00,1.002e+00,1.550e+00,6.428e-01,8.898e-01,1.163e+00,1.690e+00,9.238e-01,7.789e-01,3.322e-01,9.204e-01,9.095e-01,2.038e-01,1.287e+00,5.947e-01,2.166e+00,Simulation Eccentric Stiffness (3) fails.,2.554e+00,5.708e-01,1.493e+00,1.098e+00,1.449e+00,9.185e-01,6.313e-01,8.803e-01,1.474e+00,1.564e+00,5.082e-01,1.992e+00,8.341e-01,2.060e-01,2.922e+00,1.526e+00,1.257e+00,3.655e-01,6.859e-01,1.391e+00,8.707e-01,1.130e-01,6.548e-01,9.090e-01,2.046e+00,9.888e-01,9.005e-01,6.225e-01,4.456e-01,1.135e+00,7.159e-01,3.540e-01,2.078e+00,9.055e-01,1.481e+00,1.409e+00,2.063e+00,1.496e+00,9.311e-01,1.826e-01,2.364e+00,9.038e-01,6.375e-01,8.172e-01,1.240e+00,5.559e-01,6.514e-01,1.094e+00,Simulation Eccentric Stiffness (3) fails.,1.192e+00,3.102e-01,2.304e+00,1.695e+00,5.080e-01,7.988e-01,2.278e+00,8.927e-01,1.479e+00,8.467e-01,3.185e+00,1.270e+00,2.770e+00,9.902e-01,1.532e+00,7.789e-01,8.518e-01,8.873e-01,1.405e+00,7.095e-01,2.565e-01,2.221e-01,9.433e-01,1.588e-01,7.902e-01,4.647e-01
Max Stress 3,Monitor Only, kgf/cm^2,3.211e+08,3.613e+08,2.836e+08,5.301e+08,3.704e+08,2.987e+08,4.950e+08,6.705e+08,6.870e+08,8.282e+08,4.434e+08,3.442e+08,4.414e+08,2.076e+08,3.758e+08,4.282e+08,4.868e+08,6.231e+08,9.256e+08,1.039e+09,5.966e+08,5.152e+08,3.610e+08,2.767e+08,5.257e+08,3.452e+08,9.275e+08,2.389e+08,2.116e+09,3.048e+08,5.078e+08,7.318e+08,6.523e+08,8.757e+08,3.289e+08,3.543e+08,3.276e+08,5.024e+08,5.285e+08,3.537e+08,2.374e+08,Rebuild Error,7.557e+08,6.159e+08,4.463e+08,4.058e+08,9.234e+08,3.177e+08,3.476e+08,5.897e+08,8.430e+08,2.909e+08,3.208e+08,3.666e+08,4.599e+08,5.136e+08,1.938e+09,3.238e+08,Simulation Eccentric Stiffness (3) fails.,4.777e+08,5.345e+08,3.912e+08,3.822e+08,3.773e+08,6.666e+08,3.481e+08,4.262e+08,7.664e+08,3.985e+08,2.889e+08,2.605e+08,Simulation Eccentric Stiffness (3) fails.,1.273e+09,4.583e+08,3.111e+08,7.102e+08,4.592e+08,2.968e+08,4.278e+08,5.170e+08,2.364e+08,4.897e+08,4.979e+08,5.906e+08,8.279e+08,2.988e+08,3.024e+08,1.349e+09,3.575e+08,4.624e+08,2.123e+08,Simulation Eccentric Stiffness (3) fails.,3.240e+08,8.059e+08,3.080e+08,4.188e+08,1.898e+08,5.008e+08,4.356e+08,5.226e+08,3.120e+08,2.941e+08,5.411e+08,4.154e+08,3.297e+08,1.335e+09,2.831e+08,3.014e+08,3.658e+08,1.259e+09,4.010e+08,3.308e+08,3.158e+08,4.070e+09,4.200e+08,5.061e+08,2.248e+08,4.652e+08,3.054e+08,4.418e+08,1.032e+09,4.052e+08,6.425e+08,7.769e+08,3.982e+08,5.080e+08,3.106e+08,3.265e+08,4.010e+08,1.838e+08,2.954e+08,1.506e+09,3.499e+08,5.090e+08,7.215e+08,5.629e+08,6.670e+08,4.947e+08,7.062e+08,7.561e+08,Simulation Eccentric Stiffness (3) fails.,3.860e+08,1.483e+09,3.591e+08,2.714e+08,9.055e+08,5.759e+08,3.632e+08,5.153e+08,3.110e+08,3.248e+08,2.598e+08,3.621e+08,2.987e+08,4.646e+08,3.003e+08,3.531e+08,5.400e+08,5.184e+08,3.274e+08,3.876e+08,1.793e+09,1.238e+09,4.877e+08,1.732e+09,3.480e+08,5.917e+08
Mass,Monitor Only, kg,3.67,2.68,6.51,5.4,1.49,2.94,2.42,3.78,2.98,4.09,5.01,6.54,6.23,2.36,1.61,8.96,2.27,4.56,6.6,4.55,3.18,6.18,2.31,3.47,3.67,3.26,1.15,2.78,4.36,2.81,7.09,1.48,6.11,4.63,3.9,7.58,1.91,6.04,6.1,2.29,1.91,Rebuild Error,3.83,7.56,3.29,6.52,3.1,1.92,2.32,2.61,2.55,6.02,6.84,4.22,5.69,4.73,3.57,9.91,Simulation Eccentric Stiffness (3) fails.,1.74,4.97,2.23,3.5,5.39,5,6.8,1.51,1.76,1.65,2.83,2.67,Simulation Eccentric Stiffness (3) fails.,3.31,4.6,3.34,2.72,10.21,8.17,2.47,6.28,2.45,3.38,5.63,5.25,1.17,2.34,1.9,1.07,7.37,2.32,8.83,Simulation Eccentric Stiffness (3) fails.,4.57,4.59,5.62,4.78,3.51,5.32,2.67,3.11,7.23,7.69,1.95,3.69,1.85,0.99,7.52,5.32,7.78,8.09,1.47,5.69,2.09,2.29,2.05,4.66,7.17,7.73,2.49,1.64,4.43,6.74,7.21,1.87,3.85,7.06,2.61,3.5,2.51,1.91,3.28,1.42,3.41,4.05,5.87,6.58,3.21,1.75,8.4,4.72,Simulation Eccentric Stiffness (3) fails.,6.13,5.59,4.5,5.83,7.12,6.57,3.4,5.2,6.48,1.85,5.1,11.07,4.08,6.98,8.39,1.92,5.96,7.39,6.63,1.46,3.58,2.3,5.13,1.09,1.68,1.3
Dropout X Displacement,Monitor Only, m,-4.131e-03,2.659e-02,-2.948e-03,-5.201e-03,-1.224e-02,-5.284e-03,-8.445e-03,-4.891e-03,2.538e-02,-2.299e-03,1.722e-02,1.096e-02,1.431e-02,-4.309e-03,-7.859e-03,1.415e-02,-1.002e-02,2.202e-02,1.878e-02,4.079e-02,2.906e-02,1.943e-02,2.015e-02,1.629e-02,1.693e-02,-5.526e-03,1.154e-01,1.950e-02,7.263e-02,2.192e-02,1.961e-02,9.562e-02,2.244e-02,3.530e-02,-5.108e-03,-1.285e-03,3.175e-02,1.515e-02,1.886e-02,-7.992e-03,-7.108e-03,Rebuild Error,-1.527e-02,2.194e-02,2.937e-02,1.314e-02,-7.719e-03,-1.062e-02,-1.065e-02,-3.224e-02,6.559e-02,-2.638e-03,1.208e-02,2.146e-02,1.611e-02,3.464e-02,3.521e-02,7.934e-03,Simulation Eccentric Stiffness (3) fails.,4.366e-02,1.924e-02,-1.205e-02,2.447e-02,1.625e-02,-7.884e-03,1.152e-02,-1.435e-02,-2.538e-02,-1.113e-02,2.542e-02,2.342e-02,Simulation Eccentric Stiffness (3) fails.,2.439e-02,-5.102e-03,-8.528e-03,2.927e-02,1.601e-02,8.038e-03,-1.186e-02,2.116e-02,-5.194e-03,-5.704e-03,1.469e-02,1.660e-02,1.194e-01,-8.556e-03,2.446e-02,-3.001e-02,1.049e-02,-1.530e-02,5.167e-03,Simulation Eccentric Stiffness (3) fails.,1.664e-02,2.600e-02,9.267e-03,1.551e-02,-3.401e-03,1.987e-02,-5.866e-03,-5.488e-03,9.898e-03,8.321e-03,-1.543e-02,2.386e-02,-8.590e-03,-6.010e-02,-3.320e-03,8.952e-03,8.387e-03,-9.632e-03,4.441e-02,9.828e-03,2.666e-02,1.157e-01,5.208e-02,2.027e-02,-2.720e-03,1.616e-02,2.284e-02,4.976e-02,4.881e-02,1.268e-02,2.072e-02,3.183e-02,2.249e-02,1.645e-02,1.034e-02,-5.135e-03,2.316e-02,-5.425e-03,-8.126e-03,2.402e-01,2.673e-02,-6.665e-03,-5.482e-03,1.209e-02,4.839e-02,5.522e-02,1.521e-02,-7.136e-03,Simulation Eccentric Stiffness (3) fails.,1.185e-02,-3.459e-03,1.441e-02,9.261e-03,2.062e-02,1.747e-02,1.944e-02,1.783e-02,1.005e-02,2.888e-02,1.436e-02,9.396e-03,2.000e-02,1.383e-02,8.644e-03,-9.723e-03,1.783e-02,1.987e-02,9.941e-03,-7.916e-03,-9.517e-03,-1.043e-02,1.409e-02,8.126e-02,3.244e-02,6.942e-02
Dropout Y Displacement,Monitor Only, m,7.866e-03,-5.491e-02,5.020e-03,1.039e-02,1.768e-02,1.040e-02,1.332e-02,8.825e-03,-6.473e-02,6.867e-03,-2.987e-02,-2.002e-02,-2.633e-02,9.897e-03,1.364e-02,-2.829e-02,2.266e-02,-4.315e-02,-5.291e-02,-8.493e-02,-5.671e-02,-3.424e-02,-4.309e-02,-2.876e-02,-2.898e-02,9.111e-03,-2.023e-01,-3.454e-02,-1.434e-01,-4.101e-02,-3.951e-02,-1.825e-01,-5.070e-02,-6.378e-02,9.537e-03,3.073e-03,-5.863e-02,-3.296e-02,-3.627e-02,1.094e-02,7.664e-03,Rebuild Error,3.793e-02,-4.438e-02,-5.424e-02,-2.575e-02,1.085e-02,1.799e-02,1.872e-02,5.940e-02,-1.150e-01,5.113e-03,-2.001e-02,-4.012e-02,-3.085e-02,-6.340e-02,-6.058e-02,-1.354e-02,Simulation Eccentric Stiffness (3) fails.,-8.573e-02,-3.576e-02,2.295e-02,-4.887e-02,-2.679e-02,1.449e-02,-2.187e-02,2.290e-02,5.210e-02,2.029e-02,-4.535e-02,-3.605e-02,Simulation Eccentric Stiffness (3) fails.,-4.072e-02,1.405e-02,1.688e-02,-5.449e-02,-3.532e-02,-1.558e-02,2.565e-02,-3.220e-02,1.078e-02,1.178e-02,-3.022e-02,-3.666e-02,-1.827e-01,1.261e-02,-5.450e-02,5.312e-02,-1.906e-02,2.479e-02,-9.890e-03,Simulation Eccentric Stiffness (3) fails.,-3.353e-02,-5.731e-02,-1.743e-02,-2.734e-02,5.439e-03,-3.822e-02,9.208e-03,7.485e-03,-1.710e-02,-1.554e-02,2.362e-02,-4.603e-02,1.717e-02,9.298e-02,6.638e-03,-1.571e-02,-1.665e-02,2.105e-02,-7.454e-02,-1.687e-02,-4.585e-02,-2.377e-01,-9.613e-02,-3.741e-02,3.916e-03,-2.902e-02,-4.417e-02,-9.011e-02,-1.040e-01,-2.707e-02,-4.134e-02,-8.721e-02,-5.018e-02,-3.113e-02,-1.336e-02,6.672e-03,-4.593e-02,6.931e-03,1.520e-02,-4.087e-01,-4.633e-02,1.044e-02,1.346e-02,-3.044e-02,-8.072e-02,-1.006e-01,-3.232e-02,1.460e-02,Simulation Eccentric Stiffness (3) fails.,-1.986e-02,5.640e-03,-3.375e-02,-1.549e-02,-5.100e-02,-4.014e-02,-3.423e-02,-3.544e-02,-1.813e-02,-5.340e-02,-2.682e-02,-1.801e-02,-3.574e-02,-3.008e-02,-1.589e-02,2.615e-02,-3.371e-02,-3.980e-02,-1.668e-02,1.318e-02,1.601e-02,2.395e-02,-2.905e-02,-1.862e-01,-6.030e-02,-1.285e-01
BB X Displacement,Monitor Only, m,-4.484e-03,3.121e-02,-3.241e-03,-5.472e-03,-1.184e-02,-5.850e-03,-8.274e-03,-4.968e-03,2.985e-02,-2.544e-03,1.994e-02,1.297e-02,1.620e-02,-5.209e-03,-8.403e-03,1.647e-02,-1.051e-02,2.627e-02,2.358e-02,4.928e-02,3.674e-02,2.274e-02,2.463e-02,1.947e-02,1.998e-02,-5.603e-03,1.356e-01,2.316e-02,8.584e-02,2.598e-02,2.309e-02,1.126e-01,2.679e-02,4.116e-02,-5.619e-03,-1.512e-03,3.753e-02,1.836e-02,2.242e-02,-8.233e-03,-5.762e-03,Rebuild Error,-1.603e-02,2.548e-02,3.511e-02,1.575e-02,-7.064e-03,-1.129e-02,-1.105e-02,-3.128e-02,7.692e-02,-2.874e-03,1.389e-02,2.513e-02,1.938e-02,4.114e-02,4.172e-02,9.195e-03,Simulation Eccentric Stiffness (3) fails.,5.213e-02,2.289e-02,-1.283e-02,2.869e-02,1.901e-02,-8.386e-03,1.354e-02,-1.519e-02,-2.764e-02,-1.144e-02,3.074e-02,2.707e-02,Simulation Eccentric Stiffness (3) fails.,2.885e-02,-5.255e-03,-8.945e-03,3.443e-02,1.885e-02,9.725e-03,-1.286e-02,2.500e-02,-5.701e-03,-6.325e-03,1.784e-02,1.962e-02,1.437e-01,-8.434e-03,3.013e-02,-3.117e-02,1.237e-02,-1.465e-02,6.232e-03,Simulation Eccentric Stiffness (3) fails.,1.991e-02,3.083e-02,1.120e-02,1.852e-02,-3.551e-03,2.387e-02,-6.024e-03,-5.379e-03,1.185e-02,9.832e-03,-1.457e-02,2.859e-02,-9.530e-03,-5.242e-02,-3.505e-03,1.051e-02,9.724e-03,-1.038e-02,5.251e-02,1.174e-02,3.194e-02,1.398e-01,6.075e-02,2.372e-02,-2.712e-03,1.895e-02,2.702e-02,5.925e-02,5.726e-02,1.505e-02,2.500e-02,3.953e-02,2.792e-02,1.964e-02,1.209e-02,-5.342e-03,2.802e-02,-5.445e-03,-8.239e-03,2.834e-01,3.196e-02,-7.146e-03,-5.925e-03,1.470e-02,5.655e-02,6.470e-02,1.860e-02,-7.715e-03,Simulation Eccentric Stiffness (3) fails.,1.392e-02,-3.486e-03,1.755e-02,1.085e-02,2.479e-02,2.114e-02,2.317e-02,2.096e-02,1.199e-02,3.392e-02,1.647e-02,1.107e-02,2.382e-02,1.670e-02,1.040e-02,-1.175e-02,2.125e-02,2.322e-02,1.185e-02,-8.049e-03,-1.032e-02,-1.146e-02,1.706e-02,9.840e-02,3.898e-02,7.949e-02
BB Y Displacement,Monitor Only, m,3.315e-03,-3.133e-02,2.448e-03,5.812e-03,9.363e-03,5.553e-03,7.025e-03,4.965e-03,-3.968e-02,4.932e-03,-1.485e-02,-1.030e-02,-1.504e-02,4.750e-03,7.746e-03,-1.539e-02,1.026e-02,-2.284e-02,-3.464e-02,-4.464e-02,-2.728e-02,-1.770e-02,-2.523e-02,-1.348e-02,-1.461e-02,5.057e-03,-1.033e-01,-1.682e-02,-7.628e-02,-2.207e-02,-2.273e-02,-1.042e-01,-2.947e-02,-3.301e-02,4.986e-03,2.134e-03,-3.055e-02,-1.833e-02,-1.995e-02,6.503e-03,3.345e-03,Rebuild Error,1.366e-02,-2.494e-02,-2.749e-02,-1.344e-02,5.549e-03,9.344e-03,9.723e-03,2.505e-02,-5.719e-02,2.437e-03,-9.778e-03,-2.210e-02,-1.597e-02,-3.024e-02,-3.102e-02,-7.369e-03,Simulation Eccentric Stiffness (3) fails.,-4.915e-02,-1.855e-02,1.233e-02,-2.653e-02,-1.309e-02,7.884e-03,-1.162e-02,9.628e-03,2.686e-02,1.073e-02,-2.231e-02,-1.592e-02,Simulation Eccentric Stiffness (3) fails.,-2.022e-02,8.869e-03,9.813e-03,-2.796e-02,-2.100e-02,-8.200e-03,1.420e-02,-1.226e-02,5.615e-03,5.649e-03,-1.647e-02,-2.045e-02,-8.403e-02,6.362e-03,-2.841e-02,3.129e-02,-9.546e-03,1.397e-02,-4.687e-03,Simulation Eccentric Stiffness (3) fails.,-1.840e-02,-3.323e-02,-8.916e-03,-1.390e-02,3.087e-03,-1.977e-02,4.827e-03,3.447e-03,-8.263e-03,-7.877e-03,9.651e-03,-2.416e-02,9.835e-03,5.134e-02,3.923e-03,-7.786e-03,-9.482e-03,1.137e-02,-3.863e-02,-8.236e-03,-2.277e-02,-1.310e-01,-5.002e-02,-1.859e-02,1.670e-03,-1.421e-02,-2.311e-02,-4.570e-02,-6.126e-02,-1.558e-02,-2.112e-02,-5.721e-02,-2.701e-02,-1.634e-02,-4.643e-03,3.097e-03,-2.368e-02,2.572e-03,8.695e-03,-2.056e-01,-2.279e-02,5.823e-03,8.692e-03,-1.945e-02,-4.819e-02,-5.244e-02,-1.799e-02,8.821e-03,Simulation Eccentric Stiffness (3) fails.,-1.075e-02,2.124e-03,-2.136e-02,-7.271e-03,-3.151e-02,-2.335e-02,-1.638e-02,-1.977e-02,-9.252e-03,-2.741e-02,-1.443e-02,-9.848e-03,-1.641e-02,-1.755e-02,-7.934e-03,1.103e-02,-1.779e-02,-2.290e-02,-7.687e-03,8.456e-03,8.816e-03,1.556e-02,-1.584e-02,-1.117e-01,-2.987e-02,-7.099e-02
