Design Study 1
Scenarios/Iterations:, 143
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143
Min FS 1,Monitor Only,,3.640e+00,2.549e-01,3.349e-01,2.745e+00,1.487e-01,7.184e-01,7.790e-01,1.388e-01,4.532e-01,3.435e-01,5.978e-01,8.031e-01,2.490e-01,8.133e-01,9.273e-01,7.946e-01,5.463e-01,4.309e-01,7.021e-01,4.104e-01,3.055e-01,1.844e-01,7.156e-01,4.353e-01,4.705e-01,3.876e-01,3.748e-01,1.386e-01,3.610e-01,3.598e-01,4.981e-01,9.727e-01,1.182e+00,3.257e-01,8.740e-01,3.303e-01,3.850e-01,6.013e-01,2.159e-01,1.392e+00,3.601e-01,1.362e+00,4.124e-01,3.045e-01,Simulation Eccentric Stiffness (3) fails.,9.085e-02,3.518e-01,1.496e+00,8.110e-01,6.813e-01,6.107e-01,1.555e+00,1.246e+00,Simulation Eccentric Stiffness (3) fails.,5.771e-01,7.851e-01,3.413e-01,3.453e-01,Simulation Eccentric Stiffness (3) fails.,1.120e+00,6.796e-01,3.449e-01,2.218e-01,9.866e-01,2.707e+00,1.438e+00,4.342e-01,8.888e-01,1.645e-01,6.601e-01,1.783e-01,7.447e-01,7.762e-01,1.214e+00,1.600e+00,9.827e-01,6.573e-01,8.964e-01,1.834e+00,1.140e+00,2.032e+00,1.063e+00,5.218e-01,4.134e-01,1.090e+00,1.073e+00,7.705e-01,8.859e-01,3.141e-01,8.368e-01,1.206e+00,1.548e+00,1.343e-01,1.746e+00,4.248e-01,1.544e+00,3.041e-01,3.055e-01,7.357e-01,2.856e-01,1.495e+00,6.207e-01,3.820e-01,3.469e-01,3.686e-01,5.389e-01,5.136e-01,6.476e-01,1.346e+00,4.013e-01,5.083e-01,4.667e-01,6.423e-01,2.693e-01,2.175e-01,5.902e-01,3.275e-01,1.209e-01,1.492e+00,1.394e+00,8.657e-01,3.471e-01,3.933e-01,1.844e-01,1.292e-01,9.196e-01,3.284e-01,6.353e-01,4.441e-01,3.612e-01,1.173e+00,1.200e+00,3.464e-01,2.786e-01,1.437e+00,1.063e+00,2.535e-01,6.571e-01,9.679e-01,2.237e-01,3.799e-01,3.795e-01,1.455e+00,2.833e-01
Max Stress 1,Monitor Only, kgf/cm^2,2.273e+08,1.805e+09,1.374e+09,3.014e+08,3.094e+09,1.152e+09,1.062e+09,3.315e+09,6.068e+08,1.339e+09,4.600e+08,1.030e+09,1.847e+09,5.656e+08,8.922e+08,5.789e+08,1.514e+09,1.067e+09,1.178e+09,1.121e+09,9.002e+08,1.491e+09,6.428e+08,1.057e+09,9.778e+08,1.187e+09,2.207e+09,3.320e+09,1.274e+09,1.278e+09,1.661e+09,8.506e+08,3.891e+08,1.412e+09,9.466e+08,1.393e+09,1.195e+09,4.574e+08,2.130e+09,3.304e+08,2.297e+09,3.378e+08,1.115e+09,1.511e+09,Simulation Eccentric Stiffness (3) fails.,5.063e+09,1.308e+09,3.075e+08,1.020e+09,6.752e+08,1.355e+09,2.958e+08,3.691e+08,Simulation Eccentric Stiffness (3) fails.,7.971e+08,3.503e+08,8.056e+08,1.332e+09,Simulation Eccentric Stiffness (3) fails.,4.105e+08,1.217e+09,1.334e+09,1.240e+09,4.663e+08,1.699e+08,3.199e+08,1.059e+09,3.094e+08,2.797e+09,6.969e+08,2.580e+09,6.177e+08,5.926e+08,3.788e+08,2.876e+08,8.420e+08,1.259e+09,5.132e+08,2.508e+08,4.034e+08,1.353e+08,4.329e+08,8.815e+08,1.113e+09,4.219e+08,4.288e+08,3.569e+08,5.192e+08,8.755e+08,9.887e+08,3.813e+08,2.971e+08,3.426e+09,2.634e+08,6.474e+08,2.979e+08,1.513e+09,9.002e+08,1.125e+09,1.611e+09,3.077e+08,1.333e+09,1.204e+09,1.326e+09,1.248e+09,1.535e+09,1.611e+09,1.278e+09,3.418e+08,1.146e+09,1.628e+09,9.857e+08,1.288e+09,1.708e+09,2.115e+09,4.660e+08,1.405e+09,3.803e+09,5.545e+08,3.300e+08,9.557e+08,2.383e+09,1.170e+09,1.492e+09,2.129e+09,8.997e+08,1.401e+09,7.240e+08,1.036e+09,1.274e+09,3.920e+08,3.832e+08,1.328e+09,1.651e+09,5.757e+08,2.586e+08,1.085e+09,1.259e+09,2.841e+08,1.229e+09,7.240e+08,1.212e+09,5.688e+08,1.624e+09
Min FS 3,Monitor Only,,2.577e+00,7.083e-01,5.823e-01,3.433e+00,3.655e-01,1.985e+00,2.198e+00,3.325e-01,1.136e+00,8.686e-01,1.743e+00,2.453e+00,2.316e-01,1.077e+00,2.361e+00,9.115e-01,1.600e+00,1.156e+00,1.952e+00,1.229e+00,8.702e-01,5.083e-01,4.766e-01,1.236e+00,1.339e+00,1.042e+00,1.496e+00,3.856e-01,9.887e-01,9.661e-01,1.115e+00,2.613e+00,1.435e+00,7.638e-01,2.360e+00,9.088e-01,1.094e+00,7.344e-01,6.084e-01,1.397e+00,1.180e+00,1.024e+00,1.044e+00,7.119e-01,Simulation Eccentric Stiffness (3) fails.,2.660e-01,5.526e-01,1.222e+00,2.445e+00,5.186e-01,1.715e+00,1.924e+00,1.114e+00,Simulation Eccentric Stiffness (3) fails.,1.628e+00,7.269e-01,7.081e-01,1.038e+00,Simulation Eccentric Stiffness (3) fails.,1.137e+00,1.839e+00,9.503e-01,4.372e-01,8.419e-01,2.458e+00,1.235e+00,1.233e+00,8.609e-01,4.101e-01,4.587e-01,5.230e-01,9.060e-01,7.956e-01,1.091e+00,1.347e+00,2.680e+00,1.773e+00,1.015e+00,1.004e+00,5.991e-01,2.092e+00,7.418e-01,5.133e-01,1.220e+00,1.077e+00,1.298e+00,7.682e-01,6.149e-01,2.056e-01,2.312e+00,2.901e+00,5.350e-01,3.849e-01,2.734e+00,4.937e-01,1.781e+00,8.630e-01,8.653e-01,1.829e+00,7.919e-01,1.508e+00,1.605e+00,1.160e+00,4.816e-01,1.203e+00,7.999e-01,1.370e+00,1.940e+00,8.414e-01,1.106e+00,1.407e+00,1.342e+00,1.838e+00,6.761e-01,5.764e-01,4.334e-01,8.677e-01,2.833e-01,1.400e+00,1.308e+00,1.976e+00,9.305e-01,1.084e+00,2.862e-01,3.564e-01,1.062e+00,9.170e-01,6.587e-01,1.225e+00,1.011e+00,7.139e-01,1.077e+00,1.085e+00,3.404e-01,1.606e+00,1.009e+00,6.389e-01,1.309e+00,7.569e-01,6.718e-01,1.158e+00,2.473e-01,4.003e+00,8.474e-01
Max Stress 3,Monitor Only, kgf/cm^2,3.211e+08,6.494e+08,7.900e+08,2.410e+08,1.258e+09,4.169e+08,3.764e+08,1.384e+09,2.420e+08,5.296e+08,1.577e+08,3.374e+08,1.986e+09,4.273e+08,3.504e+08,5.047e+08,5.172e+08,3.980e+08,4.239e+08,3.744e+08,3.160e+08,5.410e+08,9.652e+08,3.721e+08,3.434e+08,4.413e+08,5.532e+08,1.193e+09,4.652e+08,4.762e+08,7.421e+08,3.167e+08,3.206e+08,6.022e+08,3.506e+08,5.062e+08,4.204e+08,3.744e+08,7.560e+08,3.294e+08,7.014e+08,4.491e+08,4.406e+08,6.461e+08,Simulation Eccentric Stiffness (3) fails.,1.730e+09,8.324e+08,3.764e+08,3.384e+08,8.871e+08,4.823e+08,2.391e+08,4.131e+08,Simulation Eccentric Stiffness (3) fails.,2.825e+08,3.783e+08,3.883e+08,4.433e+08,Simulation Eccentric Stiffness (3) fails.,4.047e+08,4.499e+08,4.841e+08,6.290e+08,5.464e+08,1.871e+08,3.725e+08,3.732e+08,3.194e+08,1.122e+09,1.003e+09,8.796e+08,5.077e+08,5.782e+08,4.216e+08,3.416e+08,3.087e+08,4.668e+08,4.533e+08,4.582e+08,7.678e+08,1.314e+08,6.201e+08,8.962e+08,3.770e+08,4.272e+08,3.544e+08,3.580e+08,7.481e+08,1.337e+09,3.579e+08,1.585e+08,8.599e+08,1.195e+09,1.683e+08,5.571e+08,2.583e+08,5.330e+08,3.178e+08,4.524e+08,5.809e+08,3.051e+08,5.155e+08,3.965e+08,9.551e+08,3.823e+08,1.034e+09,6.039e+08,4.264e+08,5.467e+08,4.159e+08,5.878e+08,3.427e+08,4.502e+08,6.803e+08,7.980e+08,6.346e+08,5.301e+08,1.624e+09,5.908e+08,3.516e+08,4.187e+08,8.892e+08,4.244e+08,9.609e+08,7.716e+08,7.792e+08,5.017e+08,6.984e+08,3.756e+08,4.548e+08,6.444e+08,4.272e+08,4.241e+08,1.352e+09,5.152e+08,2.725e+08,4.304e+08,6.321e+08,3.633e+08,4.094e+08,2.375e+08,1.860e+09,2.067e+08,5.429e+08
Mass,Monitor Only, kg,3.67,5.25,4.23,4.03,3.51,2.79,2.47,4.02,2.9,5.42,2.64,3.32,6.14,5.19,3.88,6.4,2.74,5.35,4.06,5.62,1.97,1.98,5.55,6,8.07,5.9,3.81,3.41,5.5,5.5,3.55,3.64,4.35,4.5,3.74,5.1,5.62,3.51,4.82,5.54,2.66,5.92,4.39,4.81,Simulation Eccentric Stiffness (3) fails.,3.38,4.15,4.96,2.82,2.93,2.51,4.44,4.34,Simulation Eccentric Stiffness (3) fails.,7.38,2.22,1.44,4.76,Simulation Eccentric Stiffness (3) fails.,5.96,3.37,4.34,2.34,4.42,8.88,5.91,5.65,2.33,5.01,7.76,4.35,3.87,4.78,4.78,5.34,3.91,2.83,3.78,6.52,3.32,3.41,4.41,4.44,5.15,4.18,5.14,1.9,5.39,1.3,3.09,3.6,3.92,4.75,6.86,1.15,4.77,4.36,3.01,3.28,4.43,4.92,3.86,4.61,5.35,2.69,2.21,3.76,2.52,6.56,7.26,2.01,5.47,2.99,4.94,5.03,2.17,4.43,5.21,1.93,5.23,4.72,2.23,5.47,2.18,1.28,2.19,5.13,3.31,7.03,5.65,4.32,8.23,5.99,4.19,2.18,2.19,1.74,2.91,2.15,1.84,2.16,3.26,1.92,4.42
Dropout X Displacement,Monitor Only, m,-4.131e-03,2.540e-02,1.725e-02,-4.729e-03,3.009e-02,2.519e-02,2.948e-02,3.726e-02,8.798e-03,1.767e-02,1.203e-02,2.353e-02,1.902e-02,-4.764e-03,1.470e-02,-5.432e-03,3.472e-02,1.251e-02,2.622e-02,1.085e-02,2.671e-02,5.371e-02,-9.042e-03,1.066e-02,9.179e-03,1.378e-02,2.199e-02,3.452e-02,1.822e-02,1.804e-02,3.237e-02,1.500e-02,-5.051e-03,1.767e-02,2.207e-02,2.174e-02,1.204e-02,-1.471e-02,2.989e-02,-3.474e-03,5.332e-02,-3.860e-03,1.325e-02,1.915e-02,Simulation Eccentric Stiffness (3) fails.,6.915e-02,1.434e-02,-3.163e-03,2.223e-02,-8.579e-03,3.052e-02,-3.291e-03,-5.428e-03,Simulation Eccentric Stiffness (3) fails.,7.801e-03,-8.236e-03,2.149e-02,1.987e-02,Simulation Eccentric Stiffness (3) fails.,-2.031e-03,2.322e-02,1.571e-02,3.774e-02,-7.796e-03,-1.707e-03,-4.290e-03,1.263e-02,-1.196e-02,2.824e-02,-1.743e-02,3.512e-02,-5.031e-03,-8.382e-03,-4.567e-03,-3.849e-03,1.446e-02,2.607e-02,-4.243e-03,-2.538e-03,-6.032e-03,-3.109e-03,-3.914e-03,-4.972e-03,1.299e-02,-5.177e-03,-5.093e-03,-9.646e-03,-8.123e-03,-3.368e-02,2.207e-02,-1.807e-03,-3.027e-03,3.982e-02,-1.997e-03,-2.153e-02,-3.624e-03,2.028e-02,2.193e-02,2.485e-02,1.949e-02,-2.945e-03,3.332e-02,1.593e-02,1.216e-02,1.420e-02,4.146e-02,2.806e-02,3.042e-02,-5.231e-03,1.299e-02,4.637e-02,1.137e-02,3.469e-02,1.428e-02,2.609e-02,-6.013e-03,1.565e-02,1.603e-02,-1.479e-02,-4.516e-03,9.124e-03,5.794e-02,1.322e-02,3.334e-02,8.464e-02,-2.224e-02,1.653e-02,-7.011e-03,1.163e-02,2.017e-02,-4.233e-03,-4.817e-03,1.335e-02,1.578e-02,-1.428e-02,-7.928e-03,3.853e-02,2.655e-02,-8.474e-03,4.586e-02,1.956e-02,-2.280e-02,4.679e-03,1.691e-02
Dropout Y Displacement,Monitor Only, m,7.866e-03,-5.110e-02,-3.351e-02,6.896e-03,-5.947e-02,-5.017e-02,-4.783e-02,-8.212e-02,-1.708e-02,-3.108e-02,-2.330e-02,-3.855e-02,-3.636e-02,8.548e-03,-3.127e-02,1.559e-02,-7.707e-02,-2.621e-02,-5.319e-02,-1.887e-02,-4.937e-02,-1.112e-01,2.350e-02,-2.200e-02,-1.774e-02,-2.998e-02,-3.982e-02,-9.026e-02,-3.583e-02,-3.853e-02,-5.621e-02,-3.476e-02,6.905e-03,-3.345e-02,-4.508e-02,-4.195e-02,-2.920e-02,4.261e-02,-6.345e-02,6.033e-03,-8.049e-02,6.881e-03,-2.281e-02,-3.203e-02,Simulation Eccentric Stiffness (3) fails.,-1.500e-01,-2.409e-02,5.431e-03,-4.031e-02,1.517e-02,-5.885e-02,4.805e-03,8.056e-03,Simulation Eccentric Stiffness (3) fails.,-1.566e-02,1.522e-02,-2.991e-02,-3.118e-02,Simulation Eccentric Stiffness (3) fails.,3.096e-03,-4.675e-02,-3.228e-02,-7.748e-02,1.375e-02,3.875e-03,8.241e-03,-2.346e-02,2.181e-02,-7.212e-02,5.181e-02,-6.623e-02,5.602e-03,1.478e-02,8.762e-03,7.006e-03,-3.022e-02,-5.758e-02,7.920e-03,5.570e-03,9.224e-03,5.081e-03,8.563e-03,8.577e-03,-2.376e-02,9.998e-03,7.047e-03,1.832e-02,1.692e-02,6.773e-02,-4.764e-02,1.894e-03,4.508e-03,-7.881e-02,2.509e-03,3.377e-02,4.802e-03,-3.767e-02,-4.156e-02,-4.970e-02,-4.310e-02,4.850e-03,-6.428e-02,-2.747e-02,-2.136e-02,-2.117e-02,-6.403e-02,-6.215e-02,-5.077e-02,1.165e-02,-2.665e-02,-9.039e-02,-2.143e-02,-7.110e-02,-2.860e-02,-6.530e-02,1.240e-02,-3.365e-02,-2.874e-02,2.454e-02,6.587e-03,-1.748e-02,-1.128e-01,-2.903e-02,-6.654e-02,-1.686e-01,3.819e-02,-3.605e-02,1.377e-02,-2.426e-02,-3.635e-02,7.125e-03,9.989e-03,-2.342e-02,-3.275e-02,2.297e-02,1.369e-02,-7.496e-02,-5.732e-02,1.713e-02,-8.398e-02,-3.287e-02,5.036e-02,-4.589e-03,-4.133e-02
BB X Displacement,Monitor Only, m,-4.484e-03,3.001e-02,2.237e-02,-4.686e-03,3.640e-02,3.030e-02,3.420e-02,4.408e-02,1.064e-02,2.091e-02,1.385e-02,2.734e-02,2.245e-02,-4.861e-03,1.730e-02,-5.656e-03,4.197e-02,1.486e-02,3.134e-02,1.262e-02,3.243e-02,6.550e-02,-9.256e-03,1.277e-02,1.088e-02,1.649e-02,2.679e-02,4.072e-02,2.089e-02,2.119e-02,3.899e-02,1.804e-02,-4.953e-03,2.086e-02,2.656e-02,2.599e-02,1.475e-02,-1.573e-02,3.546e-02,-3.856e-03,6.235e-02,-4.105e-03,1.580e-02,2.230e-02,Simulation Eccentric Stiffness (3) fails.,8.083e-02,1.676e-02,-3.475e-03,2.656e-02,-9.145e-03,3.627e-02,-3.613e-03,-5.120e-03,Simulation Eccentric Stiffness (3) fails.,9.349e-03,-8.282e-03,2.510e-02,2.354e-02,Simulation Eccentric Stiffness (3) fails.,-1.955e-03,2.799e-02,1.864e-02,4.504e-02,-8.339e-03,-1.909e-03,-4.476e-03,1.496e-02,-1.266e-02,3.415e-02,-1.730e-02,4.213e-02,-4.903e-03,-8.829e-03,-4.925e-03,-4.012e-03,1.726e-02,3.149e-02,-4.415e-03,-2.790e-03,-5.881e-03,-3.101e-03,-4.090e-03,-4.708e-03,1.548e-02,-5.654e-03,-5.181e-03,-1.049e-02,-8.769e-03,-3.653e-02,2.680e-02,-1.820e-03,-3.000e-03,4.798e-02,-1.929e-03,-2.212e-02,-3.880e-03,2.364e-02,2.603e-02,2.946e-02,2.293e-02,-3.190e-03,3.849e-02,1.895e-02,1.459e-02,1.688e-02,4.826e-02,3.385e-02,3.613e-02,-5.678e-03,1.554e-02,5.556e-02,1.318e-02,4.145e-02,1.711e-02,3.190e-02,-6.441e-03,1.890e-02,1.909e-02,-1.460e-02,-4.078e-03,1.078e-02,6.879e-02,1.568e-02,4.031e-02,1.018e-01,-2.406e-02,1.988e-02,-7.632e-03,1.378e-02,2.424e-02,-4.318e-03,-5.207e-03,1.565e-02,1.886e-02,-1.526e-02,-8.357e-03,4.654e-02,3.235e-02,-9.317e-03,5.486e-02,2.363e-02,-2.397e-02,5.618e-03,2.272e-02
BB Y Displacement,Monitor Only, m,3.315e-03,-2.891e-02,-1.509e-02,3.220e-03,-3.252e-02,-2.735e-02,-2.319e-02,-4.795e-02,-8.705e-03,-1.654e-02,-1.173e-02,-1.804e-02,-2.011e-02,4.636e-03,-1.753e-02,8.175e-03,-3.907e-02,-1.513e-02,-2.908e-02,-9.016e-03,-2.522e-02,-6.115e-02,1.379e-02,-1.193e-02,-9.260e-03,-1.699e-02,-1.788e-02,-5.801e-02,-1.991e-02,-2.204e-02,-2.904e-02,-2.008e-02,3.283e-03,-1.678e-02,-2.574e-02,-2.174e-02,-1.524e-02,1.770e-02,-3.458e-02,3.028e-03,-3.518e-02,3.989e-03,-1.110e-02,-1.339e-02,Simulation Eccentric Stiffness (3) fails.,-8.394e-02,-1.165e-02,3.070e-03,-1.872e-02,7.348e-03,-3.141e-02,2.265e-03,4.433e-03,Simulation Eccentric Stiffness (3) fails.,-8.012e-03,8.562e-03,-1.221e-02,-1.536e-02,Simulation Eccentric Stiffness (3) fails.,1.546e-03,-2.560e-02,-1.781e-02,-4.061e-02,7.547e-03,1.874e-03,4.559e-03,-1.225e-02,1.157e-02,-4.380e-02,2.909e-02,-3.321e-02,2.623e-03,7.927e-03,4.743e-03,3.844e-03,-1.658e-02,-3.272e-02,4.442e-03,3.436e-03,4.786e-03,2.460e-03,4.925e-03,4.659e-03,-1.168e-02,5.199e-03,3.297e-03,9.483e-03,1.020e-02,4.227e-02,-2.529e-02,2.847e-04,2.280e-03,-4.277e-02,1.027e-03,1.570e-02,2.303e-03,-2.002e-02,-2.153e-02,-2.778e-02,-2.501e-02,2.487e-03,-3.569e-02,-1.276e-02,-1.023e-02,-8.752e-03,-3.115e-02,-3.520e-02,-2.412e-02,6.799e-03,-1.464e-02,-4.948e-02,-1.106e-02,-3.727e-02,-1.649e-02,-3.694e-02,6.457e-03,-1.889e-02,-1.473e-02,1.317e-02,3.529e-03,-9.442e-03,-6.257e-02,-1.548e-02,-3.671e-02,-9.319e-02,1.735e-02,-1.946e-02,7.640e-03,-1.336e-02,-1.933e-02,3.353e-03,5.694e-03,-1.214e-02,-1.795e-02,1.136e-02,7.235e-03,-4.033e-02,-2.962e-02,9.756e-03,-4.060e-02,-1.506e-02,3.216e-02,-5.414e-04,-1.937e-02
BB Z Displacement,Monitor Only, m,8.923e-04,1.396e-03,1.637e-03,8.252e-04,1.477e-03,1.850e-03,2.032e-03,2.004e-03,7.428e-04,1.181e-03,2.101e-03,1.803e-03,2.559e-03,7.355e-04,1.548e-03,1.321e-03,2.467e-03,9.741e-04,1.518e-03,8.482e-04,5.147e-03,2.852e-03,1.537e-03,1.042e-03,7.015e-04,7.919e-04,1.078e-03,3.714e-03,8.033e-04,1.004e-03,2.065e-03,1.246e-03,9.381e-04,1.638e-03,1.813e-03,1.377e-03,1.252e-03,3.362e-03,1.559e-03,7.807e-04,3.864e-03,8.733e-04,1.036e-03,1.581e-03,Simulation Eccentric Stiffness (3) fails.,2.522e-03,1.902e-03,8.659e-04,2.646e-03,2.486e-03,1.674e-03,1.389e-03,1.062e-03,Simulation Eccentric Stiffness (3) fails.,9.463e-04,6.448e-04,5.228e-03,1.315e-03,Simulation Eccentric Stiffness (3) fails.,4.651e-04,1.937e-03,1.210e-03,2.796e-03,1.345e-03,4.130e-04,8.600e-04,8.548e-04,2.221e-03,1.155e-03,3.215e-03,2.515e-03,4.091e-04,1.605e-03,8.348e-04,1.103e-03,7.195e-04,1.881e-03,1.034e-03,1.274e-03,1.949e-03,4.865e-04,1.355e-03,1.319e-03,9.970e-04,1.644e-03,7.969e-04,2.653e-03,1.459e-03,3.398e-03,1.865e-03,8.921e-04,1.154e-03,1.164e-03,2.400e-04,4.096e-03,1.032e-03,1.289e-03,1.464e-03,2.113e-03,3.194e-03,8.440e-04,1.913e-03,2.655e-03,1.340e-03,2.274e-03,4.007e-03,3.123e-03,1.738e-03,1.006e-03,5.990e-04,4.924e-03,8.293e-04,2.531e-03,9.409e-04,1.001e-03,2.099e-03,1.079e-03,1.180e-03,2.173e-03,7.734e-04,7.890e-04,2.691e-03,8.643e-04,2.449e-03,4.008e-03,6.468e-03,1.481e-03,1.914e-03,9.706e-04,1.276e-03,1.340e-03,9.682e-04,1.027e-03,3.399e-03,2.383e-03,1.984e-03,3.988e-03,2.215e-03,1.403e-03,2.732e-03,1.994e-03,2.617e-03,1.802e-03,1.587e-03
BBR Y Displacement,Monitor Only, m,-2.775e-03,-1.078e-02,-5.140e-03,-2.417e-03,-1.211e-02,-1.017e-02,-8.162e-03,-1.842e-02,-3.162e-03,-6.150e-03,-4.279e-03,-6.127e-03,-7.611e-03,-4.903e-03,-6.688e-03,-9.741e-03,-1.377e-02,-5.789e-03,-1.067e-02,-3.133e-03,-9.319e-03,-2.277e-02,-2.390e-02,-4.480e-03,-3.293e-03,-6.419e-03,-6.999e-03,-2.358e-02,-7.371e-03,-8.353e-03,-1.057e-02,-7.682e-03,-2.758e-03,-6.045e-03,-9.847e-03,-7.843e-03,-5.441e-03,-1.213e-02,-1.259e-02,-2.933e-03,-1.151e-02,-5.003e-03,-3.970e-03,-4.409e-03,Simulation Eccentric Stiffness (3) fails.,-3.097e-02,-4.291e-03,-3.623e-03,-6.456e-03,-7.413e-03,-1.147e-02,-1.890e-03,-4.929e-03,Simulation Eccentric Stiffness (3) fails.,-2.948e-03,-1.217e-02,-4.490e-03,-5.399e-03,Simulation Eccentric Stiffness (3) fails.,-2.050e-03,-9.653e-03,-6.641e-03,-1.488e-02,-8.447e-03,-2.044e-03,-5.150e-03,-4.486e-03,-1.148e-02,-1.706e-02,-3.313e-02,-1.180e-02,-1.931e-03,-8.319e-03,-4.994e-03,-4.585e-03,-6.190e-03,-1.240e-02,-5.112e-03,-5.173e-03,-4.945e-03,-2.355e-03,-6.058e-03,-5.489e-03,-4.148e-03,-5.250e-03,-2.609e-03,-8.846e-03,-1.391e-02,-6.210e-02,-9.424e-03,-1.619e-04,-2.195e-03,-1.578e-02,-6.224e-04,-1.171e-02,-1.993e-03,-7.312e-03,-7.686e-03,-1.057e-02,-9.717e-03,-2.354e-03,-1.336e-02,-4.474e-03,-3.643e-03,-2.980e-03,-1.116e-02,-1.363e-02,-8.307e-03,-9.078e-03,-5.412e-03,-1.865e-02,-4.008e-03,-1.354e-02,-6.375e-03,-1.382e-02,-7.179e-03,-7.160e-03,-5.336e-03,-1.323e-02,-3.687e-03,-3.492e-03,-2.345e-02,-5.728e-03,-1.386e-02,-3.472e-02,-1.461e-02,-7.188e-03,-8.436e-03,-5.007e-03,-7.086e-03,-3.148e-03,-6.445e-03,-4.449e-03,-6.873e-03,-9.905e-03,-7.298e-03,-1.512e-02,-1.083e-02,-1.170e-02,-1.403e-02,-5.223e-03,-5.207e-02,-3.780e-04,-6.762e-03
