Design Study 1
Scenarios/Iterations:, 160
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123,Scenario 124,Scenario 125,Scenario 126,Scenario 127,Scenario 128,Scenario 129,Scenario 130,Scenario 131,Scenario 132,Scenario 133,Scenario 134,Scenario 135,Scenario 136,Scenario 137,Scenario 138,Scenario 139,Scenario 140,Scenario 141,Scenario 142,Scenario 143,Scenario 144,Scenario 145,Scenario 146,Scenario 147,Scenario 148,Scenario 149,Scenario 150,Scenario 151,Scenario 152,Scenario 153,Scenario 154,Scenario 155,Scenario 156,Scenario 157,Scenario 158,Scenario 159,Scenario 160
DT Thickness,,m,0.001404,0.002213,0.002305,0.002498,0.002354,0.001848,0.00086942,0.001348,0.003596,0.002389,0.001303,0.002448,0.002109,0.002315,0.002367,0.00086647,0.002099,0.001251,0.001314,0.00348,0.001559,0.002705,0.002052,0.002208,0.001794,0.002526,0.001344,0.001829,0.001828,0.001779,0.001428,0.002041,0.001412,0.001979,0.002436,0.00212,0.003116,0.002373,0.002042,0.002321,0.002474,0.002369,0.002482,0.001863,0.001974,0.002693,0.002316,0.001857,0.001665,0.001601,0.002202,0.001501,0.001944,0.001641,0.002111,0.002914,0.001631,0.001963,0.001745,0.002294,0.00268,0.002728,0.002465,0.001544,0.00211,0.00265,0.00228,0.00073145,0.001858,0.002279,0.003138,0.002369,0.002886,0.001462,0.002036,0.002407,0.002131,0.002186,0.002539,0.001831,0.00206,0.002091,0.001771,0.002666,0.002934,0.001608,0.002671,0.001832,0.001801,0.001944,0.002316,0.002204,0.002779,0.002043,0.002267,0.001663,0.00166,0.002253,0.00061467,0.002461,0.001895,0.002549,0.001057,0.001976,0.002092,0.001987,0.002034,0.002443,0.002283,0.001918,0.001213,0.001329,0.002249,0.003555,0.002039,0.002278,0.002275,0.001441,0.001173,0.00215,0.001582,0.001992,0.002016,0.002162,0.002077,0.001906,0.001886,0.002146,0.00061346,0.002136,0.001825,0.001733,0.001907,0.002594,0.002217,0.002298,0.0027,0.001688,0.002186,0.002097,0.002391,0.001984,0.002014,0.002238,0.002891,0.00292,0.002089,0.002256,0.002063,0.002087,0.001109,0.001933,0.002775,0.002223,0.002517,0.002468,0.001912,0.002602,0.001207,0.002231,0.001966
DT Length,,N/A,0.631232,0.614771,0.628105,0.611221,0.608573,0.611600,0.591511,0.536869,0.617979,0.656207,0.611719,0.620391,0.618937,0.626652,0.626786,0.588366,0.624826,0.570004,0.608881,0.609201,0.610804,0.627243,0.623186,0.621792,0.600172,0.565575,0.612267,0.618947,0.620865,0.566025,0.547095,0.601791,0.612347,0.606816,0.611513,0.609517,0.599116,0.617024,0.624242,0.616722,0.622739,0.619542,0.539671,0.603166,0.602153,0.613576,0.607902,0.604453,0.599181,0.613617,0.607109,0.603954,0.604916,0.616922,0.558613,0.626946,0.602954,0.605986,0.549519,0.608194,0.627742,0.626804,0.610764,0.605661,0.557861,0.614814,0.626618,0.570654,0.621715,0.551774,0.597757,0.611830,0.626687,0.613692,0.606337,0.609448,0.605506,0.613155,0.614345,0.604122,0.604091,0.606038,0.612219,0.623951,0.615128,0.553438,0.615326,0.620985,0.620958,0.602543,0.612159,0.610592,0.627235,0.551963,0.609338,0.600646,0.617216,0.625092,0.573367,0.622167,0.600271,0.614165,0.568518,0.602158,0.620536,0.602531,0.603915,0.610383,0.609770,0.601481,0.498637,0.608881,0.625020,0.610961,0.551436,0.608260,0.611562,0.609281,0.600589,0.605972,0.617099,0.602448,0.607839,0.612365,0.610001,0.601285,0.605262,0.609292,0.574513,0.604249,0.568758,0.601518,0.606005,0.612603,0.608843,0.617842,0.615271,0.614492,0.610425,0.610178,0.610230,0.622579,0.603589,0.619990,0.605155,0.615660,0.609849,0.611309,0.604792,0.622653,0.596910,0.615169,0.627009,0.605411,0.616777,0.610815,0.610357,0.609711,0.600976,0.606760,0.602082
Min FS 1,Monitor Only,,3.640e+00,8.565e-01,8.848e-01,1.731e+00,1.734e+00,1.681e+00,1.616e-01,1.030e+00,3.437e+00,1.517e+00,3.791e-01,5.980e-01,2.364e+00,8.664e-01,2.124e+00,1.284e+00,2.126e+00,1.790e+00,3.663e-01,3.115e+00,4.174e-01,3.450e+00,2.012e+00,9.052e-01,1.074e+00,2.565e-01,4.816e-01,1.874e+00,2.065e+00,2.085e+00,1.412e+00,3.353e-01,1.502e+00,4.574e-01,8.972e-01,1.803e+00,2.848e+00,1.923e+00,9.634e-01,8.131e-01,7.888e-01,7.979e-01,1.299e+00,3.815e-01,1.077e+00,1.762e+00,1.464e+00,5.682e-01,6.480e-01,4.499e-01,1.299e+00,8.468e-02,5.715e-01,1.775e+00,3.990e-01,1.334e+00,Simulation Eccentric Stiffness (3) fails.,4.117e-01,1.638e+00,1.475e+00,3.084e+00,3.130e+00,1.751e+00,1.183e+00,4.865e-01,2.612e+00,8.896e-01,2.161e-01,1.842e+00,7.956e-02,2.815e+00,8.922e-01,2.240e+00,1.449e+00,1.386e+00,8.643e-01,1.574e+00,1.810e+00,2.263e+00,5.196e-01,1.374e+00,1.461e+00,1.529e+00,3.052e+00,1.943e+00,1.882e+00,2.458e+00,2.027e+00,1.813e+00,1.106e+00,8.592e-01,1.623e+00,3.127e+00,1.538e-01,6.728e-01,1.594e-01,1.784e+00,1.822e+00,2.027e-01,8.130e-01,1.172e+00,1.077e+00,2.594e-01,1.307e+00,1.940e+00,5.670e-01,6.078e-01,1.614e+00,1.773e+00,1.236e+00,3.071e-01,3.759e-01,2.033e+00,3.479e+00,3.707e-01,1.605e+00,1.531e+00,3.422e-01,5.614e-01,1.350e+00,1.648e+00,1.301e+00,1.388e+00,1.930e+00,1.849e+00,1.245e+00,1.236e+00,1.665e+00,1.008e-01,1.337e+00,3.163e-01,1.943e-01,3.689e-01,2.059e+00,1.546e+00,8.414e-01,1.778e+00,1.708e+00,1.484e+00,1.799e+00,1.813e+00,1.912e+00,6.710e-01,1.900e+00,3.023e+00,1.979e+00,8.034e-01,1.549e+00,1.351e+00,1.988e+00,5.381e-01,1.604e+00,3.144e+00,1.702e+00,2.081e+00,1.644e+00,4.589e-01,8.461e-01,5.865e-01,1.421e+00,1.300e+00
Max Stress 1,Monitor Only, N/m^2,2.273e+08,3.211e+08,3.108e+08,4.780e+08,4.771e+08,4.921e+08,1.701e+09,2.669e+08,1.339e+08,5.454e+08,7.254e+08,4.599e+08,3.499e+08,3.174e+08,3.895e+08,2.142e+08,3.891e+08,1.536e+08,7.508e+08,1.477e+08,6.589e+08,2.398e+08,4.113e+08,3.038e+08,7.707e+08,1.794e+09,5.711e+08,4.415e+08,4.006e+08,1.319e+08,1.948e+08,1.372e+09,5.509e+08,1.006e+09,5.127e+08,4.589e+08,1.615e+08,4.302e+08,2.854e+08,3.382e+08,3.486e+08,3.447e+08,3.540e+08,1.206e+09,7.683e+08,4.696e+08,5.653e+08,8.096e+08,1.277e+09,6.112e+08,6.370e+08,3.248e+09,8.049e+08,4.662e+08,1.153e+09,3.447e+08,Simulation Eccentric Stiffness (3) fails.,1.117e+09,1.678e+08,5.610e+08,2.683e+08,2.643e+08,4.725e+08,6.996e+08,9.456e+08,3.168e+08,3.091e+08,1.273e+09,4.491e+08,5.782e+09,1.634e+08,5.156e+08,3.693e+08,5.709e+08,5.968e+08,5.322e+08,5.258e+08,4.571e+08,3.656e+08,8.853e+08,6.022e+08,5.662e+08,5.410e+08,2.711e+08,4.258e+08,1.461e+08,3.366e+08,4.082e+08,4.563e+08,7.480e+08,5.354e+08,5.097e+08,2.646e+08,2.991e+09,6.837e+08,2.886e+09,4.638e+08,4.540e+08,1.356e+09,3.383e+08,7.058e+08,4.273e+08,1.060e+09,6.330e+08,4.265e+08,8.113e+08,7.568e+08,5.126e+08,4.668e+08,6.693e+08,8.956e+08,7.315e+08,4.070e+08,1.322e+08,1.241e+09,5.154e+08,5.404e+08,8.036e+08,4.898e+08,6.129e+08,5.021e+08,6.360e+08,5.961e+08,4.288e+08,4.474e+08,6.645e+08,6.695e+08,4.970e+08,2.728e+09,6.188e+08,8.696e+08,2.367e+09,1.247e+09,4.018e+08,5.350e+08,3.269e+08,4.653e+08,4.844e+08,5.574e+08,4.600e+08,4.563e+08,4.327e+08,6.856e+08,4.356e+08,1.522e+08,4.180e+08,5.726e+08,5.342e+08,6.125e+08,4.162e+08,5.110e+08,5.157e+08,2.631e+08,4.861e+08,3.976e+08,5.033e+08,5.992e+08,5.436e+08,4.689e+08,5.824e+08,6.364e+08
Min FS 3,Monitor Only,,2.577e+00,1.440e+00,2.089e+00,1.485e+00,1.504e+00,1.439e+00,2.371e-01,7.271e-01,2.974e+00,3.490e+00,2.330e-01,4.012e-01,1.940e+00,1.751e+00,1.816e+00,1.130e+00,1.802e+00,1.223e+00,2.374e-01,2.391e+00,2.526e-01,2.307e+00,1.691e+00,1.209e+00,6.804e-01,7.763e-01,2.504e-01,1.617e+00,1.763e+00,9.184e-01,1.069e+00,3.705e-01,1.334e+00,2.925e-01,5.662e-01,1.576e+00,3.424e+00,1.647e+00,1.693e+00,7.494e-01,1.497e+00,1.448e+00,1.298e+00,3.044e-01,9.171e-01,1.538e+00,1.011e+00,4.083e-01,6.674e-01,2.842e-01,7.478e-01,3.780e-02,4.152e-01,1.545e+00,1.670e+00,1.099e+00,Simulation Eccentric Stiffness (3) fails.,2.662e-01,1.648e+00,1.319e+00,2.075e+00,2.247e+00,1.514e+00,8.318e-01,2.092e+00,1.926e+00,2.104e+00,7.370e-01,1.545e+00,2.577e-01,3.082e+00,4.532e-01,1.895e+00,1.225e+00,7.930e-01,5.538e-01,1.015e+00,1.592e+00,1.871e+00,3.900e-01,8.699e-01,1.096e+00,1.361e+00,2.183e+00,1.643e+00,1.121e+00,1.995e+00,1.707e+00,1.499e+00,6.770e-01,7.533e-01,1.404e+00,1.972e+00,5.067e-01,4.653e-01,1.493e-01,1.554e+00,1.554e+00,6.818e-01,1.569e+00,9.389e-01,6.492e-01,1.089e+00,7.357e-01,1.635e+00,4.274e-01,4.552e-01,1.195e+00,1.537e+00,7.237e-01,1.066e+00,2.311e-01,1.754e+00,2.931e+00,1.650e+00,1.209e+00,1.324e+00,2.382e-01,4.772e-01,7.929e-01,1.386e+00,7.535e-01,9.463e-01,1.637e+00,1.607e+00,7.456e-01,7.675e-01,1.151e+00,3.621e-01,7.586e-01,1.061e+00,6.673e-02,2.958e-01,1.735e+00,1.237e+00,1.453e+00,1.297e+00,1.456e+00,1.025e+00,1.561e+00,1.555e+00,1.617e+00,4.921e-01,1.625e+00,3.054e+00,1.684e+00,5.166e-01,1.236e+00,9.165e-01,1.694e+00,4.771e-01,1.364e+00,2.014e+00,1.110e+00,1.762e+00,1.334e+00,2.699e-01,4.147e-01,4.898e-01,8.143e-01,7.661e-01
Max Stress 3,Monitor Only, N/m^2,3.211e+08,1.909e+08,1.316e+08,5.573e+08,5.501e+08,5.750e+08,1.160e+09,3.782e+08,1.547e+08,2.370e+08,1.180e+09,6.854e+08,4.265e+08,1.570e+08,4.556e+08,2.435e+08,4.592e+08,2.248e+08,1.158e+09,1.924e+08,1.089e+09,3.586e+08,4.892e+08,2.275e+08,1.216e+09,5.925e+08,1.098e+09,5.116e+08,4.693e+08,2.994e+08,2.573e+08,1.242e+09,6.204e+08,1.573e+09,8.125e+08,5.248e+08,1.343e+08,5.024e+08,1.624e+08,3.669e+08,1.837e+08,1.899e+08,3.544e+08,1.511e+09,9.021e+08,5.379e+08,8.184e+08,1.127e+09,1.240e+09,9.678e+08,1.106e+09,7.274e+09,1.108e+09,5.355e+08,2.755e+08,4.184e+08,Simulation Eccentric Stiffness (3) fails.,1.728e+09,1.669e+08,6.273e+08,3.987e+08,3.682e+08,5.466e+08,9.947e+08,2.199e+08,4.297e+08,1.307e+08,3.731e+08,5.354e+08,1.785e+09,1.492e+08,1.015e+09,4.365e+08,6.755e+08,1.043e+09,8.306e+08,8.154e+08,5.196e+08,4.423e+08,1.179e+09,9.511e+08,7.550e+08,6.079e+08,3.790e+08,5.037e+08,2.453e+08,4.148e+08,4.846e+08,5.518e+08,1.222e+09,6.106e+08,5.894e+08,4.195e+08,9.079e+08,9.887e+08,3.080e+09,5.324e+08,5.325e+08,4.033e+08,1.753e+08,8.812e+08,7.086e+08,2.525e+08,1.125e+09,5.059e+08,1.076e+09,1.011e+09,6.924e+08,5.382e+08,1.143e+09,2.580e+08,1.190e+09,4.717e+08,1.569e+08,2.787e+08,6.843e+08,6.251e+08,1.155e+09,5.763e+08,1.044e+09,5.969e+08,1.098e+09,8.743e+08,5.053e+08,5.149e+08,1.110e+09,1.078e+09,7.191e+08,7.595e+08,1.091e+09,2.591e+08,6.894e+09,1.555e+09,4.768e+08,6.691e+08,1.893e+08,6.381e+08,5.683e+08,8.073e+08,5.299e+08,5.319e+08,5.117e+08,9.348e+08,5.090e+08,1.506e+08,4.914e+08,8.904e+08,6.692e+08,9.028e+08,4.883e+08,5.764e+08,6.066e+08,4.108e+08,7.452e+08,4.694e+08,6.201e+08,1.019e+09,1.109e+09,5.614e+08,1.016e+09,1.080e+09
Mass,Monitor Only, kg,3.67,2.8,3.14,4.25,4.01,3.96,2.48,1.4,11.47,5.65,1.44,2.97,4.63,3.08,3.75,2.18,4.41,1.7,1.44,9.93,1.52,4.75,4.4,2.92,3.22,9.12,1.39,4.07,4.31,1.66,1.5,5.51,3.65,4.6,4.83,3.94,11.1,4.05,2.69,2.89,2.88,2.79,4.57,5.23,3.32,3.73,3.61,5.1,3.16,1.56,3.39,1.43,5.26,4.11,10.3,6.99,Simulation Eccentric Stiffness (3) fails.,4.58,1.49,3.5,4.74,4.61,3.87,3.37,9.49,4.52,3.09,2.8,4.01,10.13,10.95,5.18,3.97,3.75,3.57,4.84,3.66,3.8,4.33,5.05,3.55,3.68,3.82,4.66,3.88,1.55,4.37,4.27,3.87,3.35,6.23,3.8,4.65,8.99,4.65,5.11,4.15,3.7,2.54,2.91,3.4,4.92,2.67,3.45,4.38,5.64,5.59,3.69,4.1,3.37,1.13,1.43,3.73,11.33,9,3.78,3.62,1.31,2.85,3.44,4.03,3.45,3.58,4.02,4.04,3.41,3.39,3.67,2.72,3.45,3.64,4.77,4.4,4.13,3.77,2.8,3.54,4.01,3.55,3.94,4.05,3.98,5.7,4.06,10.09,3.89,4.84,3.64,3.58,4.3,2.83,3.78,4.64,3.71,4.15,3.7,1.56,5.86,2.9,3.42,3.51
Dropout X Displacement,Monitor Only, m,-4.131e-03,5.852e-03,5.421e-03,-6.451e-03,-7.464e-03,-9.055e-03,-1.088e-03,-1.637e-03,-5.578e-04,5.947e-03,-1.841e-02,6.288e-03,-6.535e-03,5.572e-03,-8.026e-03,-1.169e-03,-7.428e-03,-9.453e-04,-1.891e-02,-7.429e-04,-1.470e-02,-3.695e-03,-7.571e-03,5.572e-03,-1.135e-02,-1.467e-03,-1.714e-02,-8.910e-03,-8.555e-03,-1.813e-03,-1.624e-03,-5.398e-03,-1.145e-02,-5.431e-03,-4.804e-03,-8.236e-03,-4.760e-04,-7.309e-03,5.153e-03,6.038e-03,6.712e-03,6.669e-03,-1.895e-03,-5.829e-03,-1.030e-02,-7.411e-03,-8.567e-03,-5.841e-03,-1.184e-02,-1.551e-02,-9.398e-03,-1.419e-02,-5.605e-03,-9.556e-03,-1.082e-03,-3.284e-03,Simulation Eccentric Stiffness (3) fails.,-5.639e-03,-2.288e-03,-8.893e-03,-4.384e-03,-4.435e-03,-7.474e-03,-1.160e-02,-8.783e-04,-4.676e-03,5.409e-03,-2.624e-03,-8.893e-03,-2.054e-03,-5.097e-04,-4.902e-03,-6.503e-03,-1.103e-02,-9.462e-03,-4.974e-03,-8.811e-03,-8.291e-03,-6.169e-03,-5.913e-03,-9.378e-03,-8.858e-03,-9.630e-03,-4.263e-03,-6.611e-03,-1.835e-03,-5.552e-03,-8.601e-03,-9.333e-03,-1.032e-02,-4.459e-03,-8.235e-03,-4.279e-03,-1.003e-03,-5.261e-03,-6.298e-03,-9.416e-03,-8.282e-03,-2.256e-03,6.411e-03,-1.048e-02,-4.649e-03,-1.838e-03,-9.959e-03,-7.462e-03,-5.409e-03,-5.346e-03,-8.039e-03,-7.490e-03,-1.035e-02,-2.810e-03,-1.835e-02,-8.252e-03,-5.087e-04,-1.009e-03,-8.102e-03,-8.635e-03,-1.563e-02,-9.015e-04,-9.423e-03,-1.003e-02,-9.881e-03,-9.430e-03,-7.970e-03,-8.162e-03,-1.029e-02,-1.035e-02,-8.789e-03,-2.661e-03,-9.468e-03,-2.320e-03,-6.127e-03,-5.861e-03,-6.513e-03,-8.298e-03,6.285e-03,-7.872e-03,-9.579e-03,-8.987e-03,-8.310e-03,-7.283e-03,-8.424e-03,-5.315e-03,-7.625e-03,-7.472e-04,-6.595e-03,-5.076e-03,-8.580e-03,-9.266e-03,-7.639e-03,-9.679e-04,-9.077e-03,-4.304e-03,-8.417e-03,-6.791e-03,-7.898e-03,-1.553e-02,-4.386e-03,-8.966e-04,-9.253e-03,-9.776e-03
Dropout Y Displacement,Monitor Only, m,7.866e-03,-1.247e-02,-1.278e-02,1.221e-02,1.407e-02,1.677e-02,4.178e-03,2.585e-03,1.234e-03,-1.278e-02,4.021e-02,-1.415e-02,1.215e-02,-1.299e-02,1.484e-02,3.266e-03,1.403e-02,2.266e-03,4.130e-02,1.483e-03,3.488e-02,7.830e-03,1.424e-02,-1.232e-02,2.143e-02,2.950e-03,3.928e-02,1.649e-02,1.598e-02,3.301e-03,2.628e-03,1.044e-02,2.093e-02,1.142e-02,9.686e-03,1.544e-02,1.017e-03,1.372e-02,-1.083e-02,-1.335e-02,-1.438e-02,-1.384e-02,2.432e-03,1.143e-02,1.958e-02,1.403e-02,1.619e-02,1.149e-02,2.254e-02,3.426e-02,1.787e-02,4.067e-02,1.101e-02,1.758e-02,2.446e-03,6.474e-03,Simulation Eccentric Stiffness (3) fails.,1.162e-02,3.396e-03,1.685e-02,9.243e-03,9.003e-03,1.405e-02,2.151e-02,1.970e-03,9.572e-03,-1.263e-02,9.712e-03,1.664e-02,4.553e-03,1.082e-03,9.423e-03,1.270e-02,2.018e-02,1.799e-02,9.803e-03,1.661e-02,1.547e-02,1.184e-02,1.167e-02,1.765e-02,1.661e-02,1.794e-02,8.712e-03,1.268e-02,2.974e-03,1.079e-02,1.607e-02,1.752e-02,1.957e-02,8.545e-03,1.553e-02,9.164e-03,2.198e-03,1.049e-02,1.260e-02,1.733e-02,1.541e-02,9.178e-03,-1.394e-02,1.960e-02,9.228e-03,5.576e-03,1.888e-02,1.404e-02,1.037e-02,1.027e-02,1.521e-02,1.401e-02,1.959e-02,3.582e-03,4.080e-02,1.536e-02,1.143e-03,2.259e-03,1.535e-02,1.651e-02,4.026e-02,4.100e-03,1.778e-02,1.847e-02,1.863e-02,1.778e-02,1.482e-02,1.515e-02,1.943e-02,1.945e-02,1.655e-02,1.439e-02,1.790e-02,5.850e-03,1.272e-02,1.211e-02,1.242e-02,1.570e-02,-1.305e-02,1.484e-02,1.770e-02,1.697e-02,1.543e-02,1.376e-02,1.596e-02,1.017e-02,1.420e-02,1.361e-03,1.262e-02,1.053e-02,1.619e-02,1.743e-02,1.438e-02,4.453e-03,1.716e-02,9.199e-03,1.587e-02,1.277e-02,1.483e-02,3.331e-02,8.384e-03,4.067e-03,1.755e-02,1.839e-02
BB X Displacement,Monitor Only, m,-4.484e-03,7.591e-03,7.581e-03,-7.170e-03,-8.292e-03,-9.861e-03,-1.065e-03,-1.828e-03,-5.707e-04,7.172e-03,-1.988e-02,8.464e-03,-7.138e-03,7.710e-03,-8.682e-03,-1.236e-03,-8.110e-03,-1.337e-03,-2.086e-02,-7.494e-04,-1.637e-02,-4.207e-03,-8.259e-03,7.439e-03,-1.253e-02,-1.178e-03,-1.855e-02,-9.645e-03,-9.261e-03,-2.141e-03,-1.828e-03,-6.097e-03,-1.227e-02,-6.247e-03,-5.466e-03,-9.079e-03,-4.715e-04,-8.043e-03,6.662e-03,8.009e-03,8.764e-03,8.513e-03,-1.761e-03,-6.586e-03,-1.148e-02,-8.246e-03,-9.519e-03,-6.564e-03,-1.321e-02,-1.702e-02,-1.044e-02,-1.870e-02,-6.306e-03,-1.030e-02,-7.860e-04,-3.659e-03,Simulation Eccentric Stiffness (3) fails.,-6.467e-03,-2.471e-03,-9.872e-03,-4.969e-03,-4.992e-03,-8.296e-03,-1.263e-02,-6.717e-04,-5.341e-03,7.512e-03,-1.745e-03,-9.624e-03,-1.418e-03,-5.019e-04,-5.460e-03,-7.243e-03,-1.182e-02,-1.048e-02,-5.637e-03,-9.784e-03,-9.098e-03,-6.898e-03,-6.656e-03,-1.041e-02,-9.803e-03,-1.047e-02,-4.813e-03,-7.417e-03,-2.062e-03,-6.265e-03,-9.309e-03,-1.006e-02,-1.148e-02,-4.935e-03,-9.098e-03,-4.893e-03,-7.401e-04,-5.982e-03,-7.202e-03,-1.015e-02,-8.995e-03,-1.478e-03,8.477e-03,-1.156e-02,-5.235e-03,-1.443e-03,-1.109e-02,-8.161e-03,-6.061e-03,-5.988e-03,-8.931e-03,-8.278e-03,-1.152e-02,-2.395e-03,-2.035e-02,-8.965e-03,-5.181e-04,-7.387e-04,-9.010e-03,-9.550e-03,-1.762e-02,-9.321e-04,-1.045e-02,-1.077e-02,-1.098e-02,-1.040e-02,-8.744e-03,-8.959e-03,-1.145e-02,-1.141e-02,-9.702e-03,-1.346e-03,-1.054e-02,-1.754e-03,-7.113e-03,-6.747e-03,-7.280e-03,-9.200e-03,8.061e-03,-8.694e-03,-1.036e-02,-9.913e-03,-9.119e-03,-8.087e-03,-9.161e-03,-5.941e-03,-8.335e-03,-7.361e-04,-7.387e-03,-5.759e-03,-9.469e-03,-1.027e-02,-8.342e-03,-9.432e-04,-9.909e-03,-4.920e-03,-9.373e-03,-7.503e-03,-8.756e-03,-1.764e-02,-4.913e-03,-9.256e-04,-1.029e-02,-1.086e-02
BB Y Displacement,Monitor Only, m,3.315e-03,-7.756e-03,-7.789e-03,6.653e-03,7.608e-03,9.115e-03,9.685e-04,1.246e-03,6.911e-04,-7.783e-03,2.488e-02,-8.640e-03,6.683e-03,-7.922e-03,8.173e-03,1.045e-03,7.747e-03,1.131e-03,2.498e-02,8.673e-04,2.199e-02,4.591e-03,7.846e-03,-7.581e-03,1.145e-02,1.059e-03,2.481e-02,9.049e-03,8.826e-03,1.843e-03,1.326e-03,5.556e-03,1.145e-02,6.403e-03,5.350e-03,8.348e-03,5.422e-04,7.472e-03,-6.636e-03,-8.227e-03,-8.753e-03,-8.447e-03,1.359e-03,6.157e-03,1.045e-02,7.601e-03,8.702e-03,6.238e-03,1.200e-02,2.102e-02,9.591e-03,2.504e-02,5.966e-03,9.648e-03,7.195e-04,3.586e-03,Simulation Eccentric Stiffness (3) fails.,6.418e-03,1.821e-03,9.056e-03,5.370e-03,5.187e-03,7.602e-03,1.161e-02,5.923e-04,5.435e-03,-7.717e-03,1.721e-03,9.176e-03,1.324e-03,5.835e-04,5.112e-03,7.003e-03,1.106e-02,9.688e-03,5.328e-03,8.919e-03,8.385e-03,6.471e-03,6.348e-03,9.447e-03,8.929e-03,9.763e-03,5.031e-03,6.914e-03,1.577e-03,5.921e-03,8.871e-03,9.718e-03,1.045e-02,4.633e-03,8.398e-03,5.334e-03,6.316e-04,5.743e-03,6.814e-03,9.515e-03,8.458e-03,1.437e-03,-8.514e-03,1.046e-02,5.089e-03,1.307e-03,1.008e-02,7.709e-03,5.532e-03,5.496e-03,8.208e-03,7.588e-03,1.045e-02,9.182e-04,2.487e-02,8.428e-03,6.386e-04,6.348e-04,8.281e-03,8.951e-03,2.472e-02,8.064e-04,9.526e-03,1.018e-02,9.944e-03,9.583e-03,8.036e-03,8.203e-03,1.036e-02,1.044e-02,8.924e-03,1.218e-03,9.565e-03,1.621e-03,6.951e-03,6.690e-03,6.762e-03,8.473e-03,-7.993e-03,8.050e-03,9.675e-03,9.159e-03,8.348e-03,7.460e-03,8.813e-03,5.440e-03,7.757e-03,7.323e-04,6.889e-03,5.947e-03,8.739e-03,9.344e-03,7.911e-03,8.057e-04,9.367e-03,5.349e-03,8.525e-03,6.969e-03,8.001e-03,1.932e-02,4.504e-03,8.122e-04,9.408e-03,9.821e-03
